CODICE,Data,rows,n_unique_depth,conflicting_depth
PO0180500U0002,2008-05-28,2,1,False
PO0180500U0002,2008-06-27,2,1,False
PO0180500U0002,2008-07-21,2,1,False
PO0180500U0002,2008-08-26,2,1,False
PO0180500U0002,2008-09-22,2,1,False
PO0180500U0002,2008-10-24,2,1,False
PO0180500U0002,2008-11-26,2,1,False
PO0180500U0002,2009-01-05,2,1,False
PO0180500U0002,2010-01-28,2,1,False
PO0180500U0002,2010-02-18,2,1,False
PO0180500U0002,2010-03-17,2,1,False
PO0180500U0002,2010-04-20,2,1,False
PO0180500U0002,2010-05-26,2,1,False
PO0180500U0002,2010-06-24,2,1,False
PO0180500U0002,2010-07-22,2,1,False
PO0180500U0002,2010-08-12,2,1,False
PO0180500U0002,2010-09-23,2,1,False
PO0180500U0002,2010-10-28,2,1,False
PO0180500U0002,2010-11-18,2,1,False
PO0180500U0002,2011-01-20,2,1,False
PO0180500U0002,2011-02-24,2,1,False
PO0180500U0002,2011-03-11,2,1,False
PO0180500U0002,2011-04-11,2,1,False
PO0180500U0002,2011-05-11,2,1,False
PO0180500U0002,2011-06-23,2,1,False
PO0180500U0002,2011-07-13,2,1,False
PO0180500U0002,2011-08-05,2,1,False
PO0180500U0002,2011-09-28,2,1,False
PO0180500U0002,2011-10-28,2,1,False
PO0180500U0002,2011-11-22,2,1,False
PO0180500U0002,2011-12-13,2,1,False
PO0180500U0002,2012-01-23,2,1,False
PO0180500U0002,2012-02-17,2,1,False
PO0180500U0002,2012-03-08,2,1,False
PO0180500U0002,2012-04-11,2,1,False
PO0180500U0002,2012-05-08,2,1,False
PO0180500U0002,2012-06-12,2,1,False
PO0180500U0002,2012-07-05,2,1,False
PO0180500U0002,2012-09-24,2,1,False
PO0180500U0002,2012-10-31,2,1,False
PO0180500U0002,2012-11-22,2,1,False
PO0180500U0002,2013-01-14,2,1,False
PO0180500U0002,2013-02-28,2,1,False
PO0180500U0002,2013-03-29,2,1,False
PO0180500U0002,2013-04-17,2,1,False
PO0180500U0002,2013-05-16,2,1,False
PO0180500U0002,2013-06-30,2,1,False
PO0180500U0002,2013-07-19,2,1,False
PO0180500U0002,2013-08-20,2,1,False
PO0180500U0002,2013-09-30,2,1,False
PO0180500U0002,2013-10-14,2,1,False
PO0180500U0002,2013-11-12,2,1,False
PO0180500U0002,2013-12-02,2,1,False
PO0180500U0002,2014-01-15,2,1,False
PO0180500U0002,2014-02-05,2,1,False
PO0180500U0002,2014-03-05,2,1,False
PO0180500U0002,2014-04-01,2,1,False
PO0180500U0002,2014-05-15,2,1,False
PO0180500U0002,2014-06-11,2,1,False
PO0180500U0002,2014-07-08,2,1,False
PO0180500U0002,2014-08-27,2,1,False
PO0180500U0002,2014-09-08,2,1,False
PO0180500U0002,2014-11-12,2,1,False
PO0180500U0002,2015-01-27,2,1,False
PO0180500U0002,2015-02-18,2,1,False
PO0180500U0002,2015-03-23,2,1,False
PO0180500U0002,2015-04-22,2,1,False
PO0180500U0002,2015-05-12,2,1,False
PO0180500U0002,2015-06-26,2,1,False
PO0180500U0002,2015-07-27,2,1,False
PO0180500U0002,2015-08-22,2,1,False
PO0180500U0002,2015-09-15,2,1,False
PO0180500U0002,2015-10-15,2,1,False
PO0180500U0002,2015-11-11,2,1,False
PO0180500U0002,2015-12-21,2,1,False
PO0180500U0002,2016-01-28,2,1,False
PO0180500U0002,2016-02-24,2,1,False
PO0180500U0002,2016-03-31,2,1,False
PO0180500U0002,2016-04-28,2,1,False
PO0180500U0002,2016-05-17,2,1,False
PO0180500U0002,2016-06-27,2,1,False
PO0180500U0002,2016-07-25,2,1,False
PO0180500U0002,2016-08-25,2,1,False
PO0180500U0002,2016-09-27,2,1,False
PO0180500U0002,2016-11-02,2,1,False
PO0180500U0002,2016-11-16,2,1,False
PO0180500U0002,2016-12-27,2,1,False
PO0180500U0002,2017-01-18,2,1,False
PO0180500U0002,2017-03-15,2,1,False
PO0180500U0002,2017-04-26,2,1,False
PO0180500U0002,2017-05-15,2,1,False
PO0180500U0002,2017-06-15,2,1,False
PO0180500U0002,2017-07-15,2,1,False
PO0180500U0002,2017-08-16,2,1,False
PO0180500U0002,2017-09-12,2,1,False
PO0180500U0002,2017-10-31,2,1,False
PO0180500U0002,2017-11-30,2,1,False
PO0180500U0002,2017-12-30,2,1,False
PO0180500U0002,2018-01-30,2,1,False
PO0180500U0002,2018-03-30,2,1,False
PO0180500U0002,2018-04-30,2,1,False
PO0180500U0002,2018-05-14,2,1,False
PO0180500U0002,2018-06-30,2,1,False
PO0180500U0002,2018-07-13,2,1,False
PO0180500U0002,2018-07-25,2,1,False
PO0180500U0002,2018-08-30,2,1,False
PO0180500U0002,2018-09-30,2,1,False
PO0180500U0002,2019-05-20,2,1,False
PO0181150U0006,2021-10-27,2,1,False
PO018139NU0003,2009-11-19,2,1,False
PO018139NU0003,2010-02-22,2,1,False
PO018139NU0003,2010-04-15,2,1,False
PO018139NU0003,2010-05-25,2,1,False
PO018139NU0003,2010-08-12,2,1,False
PO018139NU0003,2010-10-28,2,1,False
PO018139NU0003,2011-02-08,2,1,False
PO018139NU0003,2011-08-08,2,1,False
PO018139NU0003,2012-10-26,2,1,False
PO018139NU0003,2013-02-06,2,1,False
PO018139NU0003,2013-05-15,2,1,False
PO018139NU0003,2013-08-20,2,1,False
PO018139NU0003,2013-10-22,2,1,False
PO0181710U0004,2015-12-02,2,1,False
