year,treatment,common_start,common_end,n_days,wet_days,dry_days,wet_fraction,dry_fraction,n_wet_spells,n_dry_spells,wet_to_dry_transitions,dry_to_wet_transitions,longest_wet_spell_days,longest_dry_spell_days,mean_ponding_level_mm,median_ponding_level_mm,ponding_p25_mm,ponding_p75_mm,ponding_p95_mm,max_ponding_level_mm,cumulative_daily_ponding_index_mm_days
2019,AWD,2019-05-14,2019-10-03,143,104,39,0.7272727272727273,0.2727272727272727,5,5,5,4,49,29,40.27969387710248,36.5324373077932,0.0,69.0338982283776,99.18055121738588,132.738224717954,5759.996224425655
2019,DFL,2019-05-14,2019-10-03,143,83,60,0.5804195804195804,0.4195804195804196,2,3,2,2,50,34,52.41461758053727,68.1413484057072,0.0,95.53357879053135,118.3763512737142,140.605107671602,7495.290314016829
2019,WFL,2019-05-14,2019-10-03,143,98,45,0.6853146853146853,0.3146853146853147,7,7,7,6,49,29,39.68429289843403,46.3377176855863,0.0,69.7744731914731,92.99023513306022,99.2086738618185,5674.853884476066
2020,AWD,2020-05-06,2020-09-30,148,94,54,0.6351351351351351,0.36486486486486486,9,10,9,9,30,31,33.297173818130666,29.6405018842974,0.0,58.9538834190869,88.92980815907997,143.534944306204,4927.9817250833385
2020,DFL,2020-05-06,2020-09-30,148,89,59,0.6013513513513513,0.39864864864864863,4,5,4,4,47,31,49.17894301534528,68.34944691882835,0.0,89.6526432981322,97.50191742976746,109.33692865521,7278.483566271102
2020,WFL,2020-05-06,2020-09-30,148,97,51,0.6554054054054054,0.34459459459459457,5,6,5,5,56,35,50.03125143422536,67.50940601457859,0.0,87.01632744671018,108.67886882353805,122.665348206222,7404.625212265353
