agronomic_treatment,irrigation_vs_WFL,difference_2019_t_ha,difference_2020_t_ha,same_direction
0 N,AWD,-0.32195443362433984,0.2569208012167259,False
0 N,DFL,0.4492665910531697,-1.113530142968819,False
100 N,AWD,-0.01471193490157674,0.5002875062922243,False
100 N,DFL,-0.24157780758572045,-1.563701076153201,True
160 N + FUNG,AWD,0.129566993631979,0.1654077265213303,True
160 N + FUNG,DFL,-0.24287174058860828,-0.5526836467270257,True
160 N + NO FUNG,AWD,0.2313363191885216,0.6122636862221977,True
160 N + NO FUNG,DFL,-0.06064848653723054,-0.31890857906279635,True
