year,irrigation,plot,agronomic_treatment,n_subplots,plot_group_mean_yield_t_ha,plot_group_min_yield_t_ha,plot_group_max_yield_t_ha
2019,AWD,1,0 N,2,6.405197918394257,5.956702887141255,6.853692949647259
2019,AWD,1,100 N,2,10.720984044466366,10.718956663768749,10.723011425163982
2019,AWD,1,160 N + FUNG,2,11.740093170642472,11.37908206576735,12.101104275517596
2019,AWD,1,160 N + NO FUNG,2,11.008861349773296,10.793927695389527,11.223795004157065
2019,AWD,2,0 N,2,7.60343648237916,7.408544514681342,7.798328450076978
2019,AWD,2,100 N,2,10.581285502522373,10.310890655460565,10.851680349584184
2019,AWD,2,160 N + FUNG,2,10.97623793242356,10.820424702455831,11.132051162391289
2019,AWD,2,160 N + NO FUNG,2,10.30738968984948,9.98830845162964,10.626470928069317
2019,DFL,1,0 N,2,8.183912454646777,8.167086019449398,8.200738889844155
2019,DFL,1,100 N,2,10.377747487776979,9.946399290146724,10.809095685407236
2019,DFL,1,160 N + FUNG,2,11.105316244596594,10.940071270267769,11.27056121892542
2019,DFL,1,160 N + NO FUNG,2,10.323868216341026,9.632781025605585,11.014955407076467
2019,DFL,2,0 N,2,7.3671639954816595,6.948570029293956,7.785757961669363
2019,DFL,2,100 N,2,10.470790313843471,10.377200015094768,10.564380612592174
2019,DFL,2,160 N + FUNG,2,10.866137390028266,10.837901725639082,10.89437305441745
2019,DFL,2,160 N + NO FUNG,2,10.408413211830247,10.26536623440628,10.551460189254213
2019,WFL,1,0 N,2,7.358359479436205,7.041554643018731,7.675164315853679
2019,WFL,1,100 N,2,10.85172161820319,10.727546945941784,10.975896290464595
2019,WFL,1,160 N + FUNG,2,11.178508482909747,10.90759321989261,11.449423745926884
2019,WFL,1,160 N + NO FUNG,2,10.712523343550123,10.710653017506068,10.714393669594177
2019,WFL,2,0 N,2,7.294183788585893,6.706239207582753,7.882128369589033
2019,WFL,2,100 N,2,10.479971798588705,10.27883023761437,10.68111335956304
2019,WFL,2,160 N + FUNG,2,11.27868863289233,11.05079510835236,11.506582157432298
2019,WFL,2,160 N + NO FUNG,2,10.141055057695613,10.050210892952247,10.231899222438978
2020,AWD,1,0 N,2,7.095666022885587,6.462514339267507,7.728817706503667
2020,AWD,1,100 N,2,10.811604756682945,10.7375286994124,10.88568081395349
2020,AWD,1,160 N + FUNG,2,11.182800175253039,11.07671057992154,11.288889770584538
2020,AWD,1,160 N + NO FUNG,2,11.525588729826474,10.385609045400042,12.665568414252906
2020,AWD,1,160 N + NO HERB,2,10.723580271178818,10.12473362127768,11.322426921079956
2020,AWD,2,0 N,2,6.878376715296569,6.55772797220635,7.199025458386788
2020,AWD,2,100 N,2,10.379024985531736,10.337949658416203,10.420100312647266
2020,AWD,2,160 N + FUNG,2,11.411327913951848,11.39818780464788,11.424468023255816
2020,AWD,2,160 N + NO FUNG,2,10.9813077254335,10.905490741903089,11.057124708963912
2020,AWD,2,160 N + NO HERB,2,10.49956017393756,10.480491203137058,10.51862914473806
2020,DFL,1,0 N,2,5.741663644837489,5.7181355988354925,5.765191690839485
2020,DFL,1,100 N,2,8.385010385871492,8.164350510941954,8.605670260801032
2020,DFL,1,160 N + FUNG,2,10.88234585443442,10.723015624149014,11.041676084719825
2020,DFL,1,160 N + NO FUNG,2,10.445468643822363,10.436214577551349,10.454722710093376
2020,DFL,1,160 N + NO HERB,2,10.664273322450372,10.595649224457524,10.73289742044322
2020,DFL,2,0 N,2,5.491477204973577,5.444973894790326,5.537980515156829
2020,DFL,2,100 N,2,8.677642191452339,8.444498918641093,8.910785464263586
2020,DFL,2,160 N + FUNG,2,10.275599488273755,10.255756610527188,10.295442366020325
2020,DFL,2,160 N + NO FUNG,2,10.199083280867622,9.977614957837188,10.420551603898058
2020,DFL,2,160 N + NO HERB,2,9.910381153907252,9.881091282303109,9.939671025511396
2020,WFL,1,0 N,2,6.598812703204788,5.947394085065727,7.25023132134385
2020,WFL,1,100 N,2,10.492778419139404,10.416031996519536,10.569524841759272
2020,WFL,1,160 N + FUNG,2,11.529218168435724,11.078865801804929,11.97957053506652
2020,WFL,1,160 N + NO FUNG,2,11.20465955521982,10.843901090477846,11.565418019961792
2020,WFL,1,160 N + NO HERB,2,11.682526964171888,11.502876992213812,11.862176936129964
2020,WFL,2,0 N,2,6.861388432543915,6.738083333333333,6.984693531754497
2020,WFL,2,100 N,2,9.69727631049083,9.3389374154436,10.05561520553806
2020,WFL,2,160 N + FUNG,2,10.7340944677265,10.010863683493554,11.457325251959444
2020,WFL,2,160 N + NO FUNG,2,10.077709527595758,9.872251894341384,10.283167160850132
2020,WFL,2,160 N + NO HERB,2,10.655232751824645,10.559726338336787,10.7507391653125
