year,irrigation,agronomic_treatment,n_plots,mean_yield_t_ha,sd_between_plots_t_ha,min_plot_mean_t_ha,max_plot_mean_t_ha
2019,AWD,0 N,2,7.0043172003867085,0.8472826140729558,6.405197918394257,7.60343648237916
2019,AWD,100 N,2,10.65113477349437,0.09878178633047072,10.581285502522373,10.720984044466366
2019,AWD,160 N + FUNG,2,11.358165551533016,0.5401272187894588,10.97623793242356,11.740093170642472
2019,AWD,160 N + NO FUNG,2,10.658125519811389,0.4960153675423151,10.30738968984948,11.008861349773296
2019,DFL,0 N,2,7.775538225064218,0.5775283739993183,7.3671639954816595,8.183912454646777
2019,DFL,100 N,2,10.424268900810226,0.06579121325237645,10.377747487776979,10.470790313843471
2019,DFL,160 N + FUNG,2,10.985726817312429,0.16912498998169515,10.866137390028266,11.105316244596594
2019,DFL,160 N + NO FUNG,2,10.366140714085637,0.05978233962581425,10.323868216341026,10.408413211830247
2019,WFL,0 N,2,7.326271634011048,0.045379066187586574,7.294183788585893,7.358359479436205
2019,WFL,100 N,2,10.665846708395947,0.26286681835427694,10.479971798588705,10.85172161820319
2019,WFL,160 N + FUNG,2,11.228598557901037,0.07083806339297027,11.178508482909747,11.27868863289233
2019,WFL,160 N + NO FUNG,2,10.426789200622867,0.4040891001607752,10.141055057695613,10.712523343550123
2020,AWD,0 N,2,6.987021369091078,0.1536467428755244,6.878376715296569,7.095666022885587
2020,AWD,100 N,2,10.595314871107341,0.30588008958514545,10.379024985531736,10.811604756682945
2020,AWD,160 N + FUNG,2,11.297064044602443,0.1615935137231549,11.182800175253039,11.411327913951848
2020,AWD,160 N + NO FUNG,2,11.253448227629987,0.3848647890772975,10.9813077254335,11.525588729826474
2020,AWD,160 N + NO HERB,2,10.61157022255819,0.15840612988136335,10.49956017393756,10.723580271178818
2020,DFL,0 N,2,5.616570424905533,0.17690852818869238,5.491477204973577,5.741663644837489
2020,DFL,100 N,2,8.531326288661916,0.20692193411708,8.385010385871492,8.677642191452339
2020,DFL,160 N + FUNG,2,10.578972671354087,0.42903446997250133,10.275599488273755,10.88234585443442
2020,DFL,160 N + NO FUNG,2,10.322275962344992,0.1742207609304055,10.199083280867622,10.445468643822363
2020,DFL,160 N + NO HERB,2,10.287327238178811,0.5330822646602708,9.910381153907252,10.664273322450372
2020,WFL,0 N,2,6.730100567874352,0.1856690787906998,6.598812703204788,6.861388432543915
2020,WFL,100 N,2,10.095027364815117,0.562504935473604,9.69727631049083,10.492778419139404
2020,WFL,160 N + FUNG,2,11.131656318081113,0.5622373606536359,10.7340944677265,11.529218168435724
2020,WFL,160 N + NO FUNG,2,10.641184541407789,0.7968740065913413,10.077709527595758,11.20465955521982
2020,WFL,160 N + NO HERB,2,11.168879857998267,0.7264067038244288,10.655232751824645,11.682526964171888
