year,treatment,n_days,days_with_positive_inflow,fraction_days_positive_inflow,total_inflow_mm,mean_inflow_all_days_mm,mean_inflow_positive_days_mm,median_inflow_positive_days_mm,max_daily_inflow_mm,days_with_positive_outflow,fraction_days_positive_outflow,days_net_irrigation_negative,fraction_days_net_irrigation_negative
2019,AWD,143,28,0.1958041958041958,1420.5044256994083,9.933597382513344,50.73230091783601,37.8806676766577,197.853697826772,29,0.20279720279720279,19,0.13286713286713286
2019,DFL,143,83,0.5804195804195804,4237.067656085824,29.629843748851915,51.04900790464848,46.4816388843266,167.907981717385,75,0.5244755244755245,19,0.13286713286713286
2019,WFL,143,95,0.6643356643356644,5012.666896756966,35.05361466263612,52.7649147027049,44.1489691505572,201.889444311583,73,0.5104895104895105,17,0.11888111888111888
2020,AWD,148,26,0.17567567567567569,1176.1835934874034,7.947186442482455,45.23783051874629,36.30657135575569,163.002676635687,34,0.22972972972972974,20,0.13513513513513514
2020,DFL,148,87,0.5878378378378378,1909.397436534477,12.901334030638358,21.947096971660656,19.1735790308106,128.650635138554,73,0.49324324324324326,16,0.10810810810810811
2020,WFL,148,85,0.5743243243243243,1569.9778109198949,10.607958181891181,18.47032718729288,11.9404889347956,160.501174871852,116,0.7837837837837838,45,0.30405405405405406
