year,n_wells,mean_pairwise_correlation,median_pairwise_correlation,minimum_pairwise_correlation,maximum_pairwise_correlation
2019,7,0.8641792342453145,0.8684821774008399,0.6068505502005335,0.98958824673851
2020,9,0.8316646608740168,0.8633079216507591,0.456523816690072,0.9934949230049741
