year,agronomic_treatment,irrigation,mean_yield_t_ha,WFL_mean_yield_t_ha,difference_vs_WFL_t_ha,percent_difference_vs_WFL
2019,0 N,AWD,7.0043172003867085,7.326271634011048,-0.32195443362433984,-4.394519473311878
2019,0 N,DFL,7.775538225064218,7.326271634011048,0.4492665910531697,6.132267727660016
2019,0 N,WFL,7.326271634011048,7.326271634011048,0.0,0.0
2019,100 N,AWD,10.65113477349437,10.665846708395947,-0.01471193490157674,-0.13793499291524405
2019,100 N,DFL,10.424268900810226,10.665846708395947,-0.24157780758572045,-2.264966056520905
2019,100 N,WFL,10.665846708395947,10.665846708395947,0.0,0.0
2019,160 N + FUNG,AWD,11.358165551533016,11.228598557901037,0.129566993631979,1.1539017355002756
2019,160 N + FUNG,DFL,10.985726817312429,11.228598557901037,-0.24287174058860828,-2.1629746520567417
2019,160 N + FUNG,WFL,11.228598557901037,11.228598557901037,0.0,0.0
2019,160 N + NO FUNG,AWD,10.658125519811389,10.426789200622867,0.2313363191885216,2.2186726396530796
2019,160 N + NO FUNG,DFL,10.366140714085637,10.426789200622867,-0.06064848653723054,-0.5816602347116365
2019,160 N + NO FUNG,WFL,10.426789200622867,10.426789200622867,0.0,0.0
2020,0 N,AWD,6.987021369091078,6.730100567874352,0.2569208012167259,3.817488291974695
2020,0 N,DFL,5.616570424905533,6.730100567874352,-1.113530142968819,-16.545520111306722
2020,0 N,WFL,6.730100567874352,6.730100567874352,0.0,0.0
2020,100 N,AWD,10.595314871107341,10.095027364815117,0.5002875062922243,4.955781576540449
2020,100 N,DFL,8.531326288661916,10.095027364815117,-1.563701076153201,-15.489815130202365
2020,100 N,WFL,10.095027364815117,10.095027364815117,0.0,0.0
2020,160 N + FUNG,AWD,11.297064044602443,11.131656318081113,0.1654077265213303,1.4859219670001764
2020,160 N + FUNG,DFL,10.578972671354087,11.131656318081113,-0.5526836467270257,-4.964972246127501
2020,160 N + FUNG,WFL,11.131656318081113,11.131656318081113,0.0,0.0
2020,160 N + NO FUNG,AWD,11.253448227629987,10.641184541407789,0.6122636862221977,5.753717397153584
2020,160 N + NO FUNG,DFL,10.322275962344992,10.641184541407789,-0.31890857906279635,-2.996927436243916
2020,160 N + NO FUNG,WFL,10.641184541407789,10.641184541407789,0.0,0.0
2020,160 N + NO HERB,AWD,10.61157022255819,11.168879857998267,-0.5573096354400775,-4.989843587949212
2020,160 N + NO HERB,DFL,10.287327238178811,11.168879857998267,-0.8815526198194554,-7.892936722639714
2020,160 N + NO HERB,WFL,11.168879857998267,11.168879857998267,0.0,0.0
