year,treatment,piezometer,n,first_date,last_date,mean_depth_cm,median_depth_cm,sd_depth_cm,min_depth_cm,max_depth_cm,range_cm
2019,AWD,P6,146,2019-05-16,2019-10-08,56.16787263546361,52.1314180503751,38.54695068564658,10.1003397523812,143.407625718089,133.30728596570782
2019,DFL,P3,157,2019-04-30,2019-10-03,56.095655182407,12.2760260407787,77.9955403084726,-10.5279525254986,214.885443648312,225.41339617381058
2019,DFL,P4,157,2019-04-30,2019-10-03,97.342623634778,82.162047790527,63.2694355155935,19.9144783859794,208.537166332471,188.6226879464916
2019,DFL,P7,157,2019-04-30,2019-10-03,85.70395512624488,66.709408727472,68.19968254624304,10.1613673345867,213.76464884675,203.60328151216328
2019,WFL,P1,146,2019-05-16,2019-10-08,86.69238426893409,70.476450127007,51.41418572120634,23.6886131343056,168.959455525913,145.2708423916074
2019,WFL,P2,146,2019-05-16,2019-10-08,46.89256416710067,33.7689546957442,37.75665354420958,-12.284807219676,133.347251941208,145.63205916088398
2019,WFL,P5,146,2019-05-16,2019-10-08,85.47656688216776,72.79995018022305,48.470126631411986,22.8789908684604,180.131973142925,157.2529822744646
2020,AWD,P1,146,2020-05-08,2020-09-30,107.15641244043971,107.158030265479,0.4777756381503859,106.019770918583,107.706968497468,1.687197578884991
2020,AWD,P2,146,2020-05-08,2020-09-30,107.7118571689306,107.84538502346251,0.3426782167506252,106.736800918976,108.011927291615,1.2751263726389936
2020,AWD,P5,146,2020-05-08,2020-09-30,107.2295093586347,107.29026948065149,0.4054891648433832,106.35221158663,107.717658461653,1.3654468750229967
2020,DFL,P3,157,2020-04-27,2020-09-30,107.51967987437868,107.86516699473,0.6288460017575176,105.931546594736,108.015728928263,2.0841823335269964
2020,DFL,P4,157,2020-04-27,2020-09-30,107.07435492522063,107.178626199474,0.5450931414006466,105.899439951186,107.682854224781,1.7834142735949996
2020,DFL,P7,157,2020-04-27,2020-09-30,107.15321152661066,107.260961076461,0.55024359384476,105.957569275715,107.75532598424,1.7977567085250001
2020,WFL,P6,146,2020-05-08,2020-09-30,107.27743452427598,107.306461561196,0.4554928423979677,106.252005609358,107.789826352727,1.5378207433690108
2020,WFL,P8,146,2020-05-08,2020-09-30,107.61282277619644,107.6969803821215,0.3497629006558172,106.749809268321,108.062794797358,1.3129855290369932
2020,WFL,P9,146,2020-05-08,2020-09-30,107.20717590067228,107.300681788635,0.4292292505971301,106.238030232719,107.718903249665,1.4808730169460063
