year,date,mean_depth_cm,min_platform_mean_cm,max_platform_mean_cm,mean_spatial_range_cm
2019,2019-04-01,212.31313354715098,212.31313354715098,212.31313354715098,6.5961355019209975
2019,2019-05-01,173.6162537581591,137.09624751039857,212.18899901026268,65.98022688630881
2019,2019-06-01,90.723351736152,49.34395870551113,138.79235014643305,111.19813226217896
2019,2019-07-01,31.77185403829334,18.141788976658034,47.33629238087136,49.092951251273625
2019,2019-08-01,16.39880637280598,11.111459940498921,24.32430044105507,36.32809948285707
2019,2019-09-01,79.11748827305422,27.450346782008832,127.08873770035257,51.12672996809313
2019,2019-10-01,137.2529015120479,129.192557296858,143.77698715472974,26.313568717418
2020,2020-04-01,105.97462826512017,105.96053497992034,105.98962874928968,0.12820976075099821
2020,2020-05-01,106.61248269056213,105.96939707493932,107.05365934265389,1.095976399405355
2020,2020-06-01,107.28645683662616,107.09126088304723,107.51180789079955,0.9942237503892007
2020,2020-07-01,107.71376008631017,107.52598024348089,107.79299878628055,0.44507975798816113
2020,2020-08-01,107.77215763738008,107.67360965730545,107.82334636282522,0.3355181855027088
2020,2020-09-01,107.08662534940254,106.69784929386022,107.64761620400589,0.2998112960527332
