year,treatment,common_start,common_end,n_days,gross_inflow_mm,gross_outflow_mm,net_irrigation_mm,rainfall_mm,etc_adjusted_mm,percolation_balance_sum_mm,percolation_model_sum_mm,percolation_model_heavy_soil_zone_sum_mm,mean_ponding_level_mm,fraction_positive_ponding
2019,AWD,2019-05-14,2019-10-03,143,1420.5044256994083,784.5696581780503,635.9347675213578,176.20000000000002,674.1885751631613,155.14589975209776,434.9299024057257,,40.27969387710248,0.7272727272727273
2019,DFL,2019-05-14,2019-10-03,143,4237.067656085824,2412.2535459844958,1824.8141101013277,176.20000000000002,616.6070528084849,1384.3195691936999,1242.7734662120856,,52.41461758053727,0.5804195804195804
2019,WFL,2019-05-14,2019-10-03,143,5012.666896756966,2071.7669480232253,2940.899948733741,176.20000000000002,648.6107472339684,2487.696855543045,2462.5143222414927,,39.68429289843403,0.6853146853146853
2020,AWD,2020-05-06,2020-09-30,148,1176.1835934874034,396.4760614382832,779.7075320491201,356.8,664.7996026472932,436.78186977974053,,177.92138,33.297173818130666,0.6351351351351351
2020,DFL,2020-05-06,2020-09-30,148,1909.397436534477,844.4116307865265,1064.9858057479505,356.8,637.2072481934212,783.6607617091939,,507.044404848,49.17894301534528,0.6013513513513513
2020,WFL,2020-05-06,2020-09-30,148,1569.9778109198949,1019.2855983423669,550.6922125775268,356.8,673.0893858716495,186.57325918545655,,0.08674000000000001,50.03125143422536,0.6554054054054054
