subdistrict,n_years,ols_slope_per_year,ols_intercept,ols_r2,ols_p,kendall_tau,kendall_p,theil_sen_slope,theil_sen_low95,theil_sen_high95
A,22,-0.01770151068883966,35.98947748589001,0.6821395691293355,2.201062032163082e-06,-0.5930735930735931,4.7784020793807914e-05,-0.0176300336438016,-0.02590738635081602,-0.010919384947486043
B,22,-0.013181116057100883,26.795071360668352,0.718550625833259,6.37279204035379e-07,-0.6103896103896104,2.5828166394673353e-05,-0.014073168277528265,-0.017567669258087035,-0.009712279274331635
C,22,-0.01775015595174945,36.00625850267705,0.8294192145871564,3.998849427345058e-09,-0.7316017316017316,1.261986798158992e-07,-0.018151621637843368,-0.021622804903508857,-0.013586203326046042
D,22,-0.004709096549559026,9.53306805619028,0.714429613096881,7.388574168972601e-07,-0.6103896103896104,2.5828166394673353e-05,-0.00455569369116145,-0.00572365336512595,-0.0035923609843303006
E,22,-0.009702193909021396,19.65176511817871,0.80816354490354,1.309132248348146e-08,-0.7489177489177489,4.9051932829410744e-08,-0.009548907894017283,-0.011970188773011817,-0.0073501962928634035
F,22,-0.007685470034568458,15.52683493992118,0.7025314179911635,1.119577745288161e-06,-0.7142857142857142,3.074482196504059e-07,-0.006587761964590256,-0.009266376879965224,-0.005221060419029033
G,22,-0.004157671879842592,8.396783214993734,0.6849639141230203,2.00947545094303e-06,-0.6536796536796536,4.819929613011978e-06,-0.003723775436511237,-0.005456495444912112,-0.0023829372074868974
