series,n_years,ols_slope_per_year,ols_intercept,ols_r2,ols_p,kendall_tau,kendall_p,theil_sen_slope,theil_sen_low95,theil_sen_high95
balanced_primary,22,-0.013236125420174726,26.857502859245006,0.8142447591421191,9.4542979257905e-09,-0.7229437229437229,1.9825892277218815e-07,-0.013312974419965668,-0.016347980295191203,-0.010194683738713064
full_sample_sensitivity,22,-0.01016664219248466,20.62867907001409,0.7668862419590844,9.407804813225688e-08,-0.6883116883116883,1.0666592029055455e-06,-0.010580308543065662,-0.012729790835012253,-0.007695118913897435
balanced_count_ge3_sensitivity,22,-0.013481116605410834,27.357216204633975,0.8032760779652451,1.688182215382557e-08,-0.6969696969696969,7.127533877138262e-07,-0.013282559916521107,-0.017174944492298796,-0.010360825030553411
balanced_count_weighted_sensitivity,22,-0.013877739046654684,28.163129512043444,0.8012661397627878,1.870904193779439e-08,-0.7056277056277056,4.7089961971806345e-07,-0.013910437256193897,-0.01797940292730652,-0.010310398714703933
