subdistrict,n_years,ols_slope_per_year,ols_intercept,ols_r2,ols_p,kendall_tau,kendall_p,theil_sen_slope,theil_sen_low95,theil_sen_high95
A,22,-0.013289882463813145,27.45192089292531,0.593850054861556,2.712466393681751e-05,-0.5151515151515151,0.0005440949983368612,-0.012729787574170284,-0.020215882314563328,-0.007821923663089595
B,22,-0.012580502420234717,25.95546191001333,0.5825370667711873,3.599883005003707e-05,-0.5497835497835497,0.00019663282712487727,-0.01245537007924312,-0.018628523654830996,-0.006642601160479178
C,22,-0.016160441579365387,33.226572811711655,0.7347511762762767,3.4880569107198017e-07,-0.6103896103896104,2.5828166394673353e-05,-0.015920674394415024,-0.021831657740015276,-0.01136511214383957
D,22,-0.018641465272972783,37.9726417687176,0.4992938420513942,0.00023690731460727498,-0.4805194805194805,0.0013759591555648288,-0.019113414074166304,-0.030141777278390583,-0.011384874535117665
E,22,-0.016020571307202663,32.65494759002926,0.680279405788461,2.336115245534426e-06,-0.6017316017316018,3.526283793204543e-05,-0.016452403043628668,-0.020850530029807527,-0.011104096202364232
F,22,-0.021165224651104188,42.88011710305059,0.7953996201136762,2.5108455293224557e-08,-0.6709956709956709,2.3133106599517476e-06,-0.022050711171207903,-0.026395526082574255,-0.015380921846266167
G,22,-0.012386792526933801,25.085272702123564,0.6748492447987134,2.774359392275032e-06,-0.6363636363636364,9.677165187596607e-06,-0.013295437337573882,-0.01667075419033538,-0.008581213396598678
