year,treatment,variable,n,sum,mean,median,sd,min,p05,p25,p75,p95,max,n_zero,pct_zero,n_negative,pct_negative
2019,AWD,irrigation_inflow_mm,143,1420.5044256994083,9.933597382513344,0.0,27.756671020432055,0.0,0.0,0.0,0.0,69.55832183660881,197.853697826772,115,80.41958041958041,0,0.0
2019,AWD,irrigation_outflow_mm,143,784.5696581780503,5.486501106140212,0.0,18.9210706835629,0.0,0.0,0.0,0.0,31.95363878217613,131.706536769788,114,79.72027972027972,0,0.0
2019,AWD,net_irrigation_calculated_mm,143,635.9347675213578,4.447096276373132,0.0,27.58484134526684,-121.135146111278,-15.014179047799523,0.0,0.0,37.65826399359953,186.36000588169,101,70.62937062937063,19,13.286713286713287
2019,AWD,rainfall_mm,143,176.20000000000002,1.2321678321678322,0.0,4.732783497436348,0.0,0.0,0.0,0.0,8.780000000000012,41.4,112,78.32167832167832,0,0.0
2019,AWD,etc_adjusted_mm,143,674.1885751631613,4.714605420721408,4.86639060599459,1.7981522774912322,0.717186721544507,1.3235799063073022,3.45227762678294,6.292475222293515,7.0331849251059735,7.6530490825134,0,0.0,0,0.0
2019,AWD,ponding_level_mm,143,5759.996224425655,40.27969387710248,36.5324373077932,36.42921095563505,0.0,0.0,0.0,69.0338982283776,99.18055121738588,132.738224717954,39,27.27272727272727,0,0.0
2019,AWD,percolation_balance_mm,143,155.14589975209776,1.0849363619027816,0.0405790312279946,6.50556137640039,-30.2898976639478,-5.719054057388637,-0.0001286340648119378,3.1034917550762,9.204222807392872,44.4083133987906,3,2.097902097902098,49,34.26573426573427
2019,DFL,irrigation_inflow_mm,143,4237.067656085824,29.629843748851915,18.5959105658174,33.793382691906594,0.0,0.0,0.0,54.39501284381425,89.92241999999125,167.907981717385,60,41.95804195804196,0,0.0
2019,DFL,irrigation_outflow_mm,143,2412.2535459844958,16.868905915975496,0.0005960003667776,26.03943627950662,0.0,0.0,0.0,30.3353278061997,69.43120106492687,109.941039151777,68,47.55244755244755,0,0.0
2019,DFL,net_irrigation_calculated_mm,143,1824.8141101013277,12.760937832876417,0.0,24.347111245771043,-53.282251122491,-3.3805742540046495,0.0,22.73923486187485,53.45853164665425,167.907981717385,54,37.76223776223776,19,13.286713286713287
2019,DFL,rainfall_mm,143,176.20000000000002,1.2321678321678322,0.0,4.732783497436348,0.0,0.0,0.0,0.0,8.780000000000012,41.4,112,78.32167832167832,0,0.0
2019,DFL,etc_adjusted_mm,143,616.6070528084849,4.311937432227167,4.55541364979161,2.0839561518756238,0.239062240514836,1.110123176379836,2.369104230988465,6.37724553031453,7.0383194201000485,7.6530490825134,0,0.0,0,0.0
2019,DFL,ponding_level_mm,143,7495.290314016829,52.41461758053727,68.1413484057072,48.31505382538214,0.0,0.0,0.0,95.53357879053135,118.3763512737142,140.605107671602,60,41.95804195804196,0,0.0
2019,DFL,percolation_balance_mm,143,1384.3195691936999,9.680556427927971,5.71336999674828,13.476511002180493,-18.5816592349893,-1.8312603675123595,1.8762769116165152e-14,16.66208148124265,37.650151711001435,51.5508211580358,2,1.3986013986013985,28,19.58041958041958
2019,WFL,irrigation_inflow_mm,143,5012.666896756966,35.05361466263612,26.4222636417005,41.41126360862083,0.0,0.0,0.0,55.652723121739896,124.60011672418506,201.889444311583,48,33.56643356643357,0,0.0
2019,WFL,irrigation_outflow_mm,143,2071.7669480232253,14.48788075540717,0.0492977893994925,26.01230194380851,0.0,0.0,0.0,16.7992169555427,65.67452770228319,131.572072596392,70,48.95104895104895,0,0.0
2019,WFL,net_irrigation_calculated_mm,143,2940.899948733741,20.565733907228957,15.3996750383388,34.85420632058128,-99.3075659689349,-13.432248087541709,0.0,34.40016402068015,64.31608220441068,174.95197273677,34,23.776223776223777,17,11.888111888111888
2019,WFL,rainfall_mm,143,176.20000000000002,1.2321678321678322,0.0,4.732783497436348,0.0,0.0,0.0,0.0,8.780000000000012,41.4,112,78.32167832167832,0,0.0
2019,WFL,etc_adjusted_mm,143,648.6107472339684,4.535739491146632,4.72556696610243,1.8603176774572394,0.717186721544507,1.3179136788615642,3.070959541952725,6.257609312784275,6.95082218024707,7.34875059070581,0,0.0,0,0.0
2019,WFL,ponding_level_mm,143,5674.853884476066,39.68429289843403,46.3377176855863,34.54745010986247,0.0,0.0,0.0,69.7744731914731,92.99023513306022,99.2086738618185,45,31.46853146853147,0,0.0
2019,WFL,percolation_balance_mm,143,2487.696855543045,17.39648150729402,16.3026818255262,19.558769595186842,-16.6110989515549,-7.962069259161931,4.107825191113075e-15,32.72755739917645,48.20775902292349,81.9496044816785,4,2.797202797202797,30,20.97902097902098
2020,AWD,irrigation_inflow_mm,148,1176.1835934874034,7.947186442482455,0.0,22.757560470070857,0.0,0.0,0.0,0.0,59.48428710645049,163.002676635687,122,82.43243243243244,0,0.0
2020,AWD,irrigation_outflow_mm,148,396.4760614382832,2.6788923070154267,0.0,16.975752861799727,0.0,0.0,0.0,0.0,4.187936574210022,160.002332498596,114,77.02702702702703,0,0.0
2020,AWD,net_irrigation_calculated_mm,148,779.7075320491201,5.268294135467028,0.0,28.26817154946478,-159.997114767904,-0.6445679342102515,0.0,0.0,59.37776620860316,163.002676635687,104,70.27027027027027,20,13.513513513513514
2020,AWD,rainfall_mm,148,356.8,2.410810810810811,0.0,7.05221666444894,0.0,0.0,0.0,0.2,17.850000000000005,56.0,105,70.94594594594594,0,0.0
2020,AWD,etc_adjusted_mm,148,664.7996026472932,4.491889207076306,5.177610262354371,1.8829281316324318,0.439797471992125,1.2482380009958942,2.8639174853296425,6.072065354934618,6.70123262382735,7.4367056845055,0,0.0,0,0.0
