treatment,metric,value_2019,value_2020,absolute_change_2020_minus_2019,percent_change_2020_vs_2019,ratio_2020_to_2019
AWD,gross_inflow_mm,1420.5044256994083,1176.1835934874034,-244.32083221200492,-17.199582612473,0.8280041738752699
AWD,gross_outflow_mm,784.5696581780503,396.4760614382832,-388.0935967397671,-49.46579219504982,0.5053420780495017
AWD,net_irrigation_mm,635.9347675213578,779.7075320491201,143.77276452776232,22.608099426319498,1.226080994263195
AWD,rainfall_mm,176.20000000000002,356.8,180.6,102.4971623155505,2.024971623155505
AWD,etc_adjusted_mm,674.1885751631613,664.7996026472932,-9.38897251586809,-1.3926329904946626,0.9860736700950534
AWD,percolation_balance_sum_mm,155.14589975209776,436.7818697797405,281.6359700276427,181.52975391399906,2.8152975391399906
AWD,mean_ponding_level_mm,40.27969387710248,33.297173818130666,-6.982520058971815,-17.335087203681855,0.8266491279631815
AWD,fraction_positive_ponding,0.7272727272727273,0.6351351351351351,-0.0921375921375922,-12.66891891891893,0.8733108108108107
DFL,gross_inflow_mm,4237.067656085824,1909.397436534477,-2327.6702195513467,-54.935875668825965,0.4506412433117403
DFL,gross_outflow_mm,2412.253545984496,844.4116307865265,-1567.8419151979697,-64.99490560632992,0.3500509439367008
DFL,net_irrigation_mm,1824.814110101328,1064.9858057479505,-759.8283043533775,-41.63866884562756,0.5836133115437244
DFL,rainfall_mm,176.20000000000002,356.8,180.6,102.4971623155505,2.024971623155505
DFL,etc_adjusted_mm,616.6070528084849,637.2072481934212,20.600195384936228,3.3408951926689276,1.0334089519266894
DFL,percolation_balance_sum_mm,1384.3195691937,783.6607617091939,-600.6588074845062,-43.3901839467863,0.566098160532137
DFL,mean_ponding_level_mm,52.41461758053727,49.17894301534528,-3.235674565191985,-6.173229367208937,0.9382677063279107
DFL,fraction_positive_ponding,0.5804195804195804,0.6013513513513513,0.0209317709317709,3.6063171605340223,1.0360631716053401
WFL,gross_inflow_mm,5012.666896756966,1569.9778109198949,-3442.6890858370707,-68.67978975551677,0.3132021024448323
WFL,gross_outflow_mm,2071.7669480232253,1019.2855983423668,-1052.4813496808583,-50.80114588588656,0.49198854114113433
WFL,net_irrigation_mm,2940.899948733741,550.6922125775268,-2390.207736156214,-81.2747042681735,0.18725295731826494
WFL,rainfall_mm,176.20000000000002,356.8,180.6,102.4971623155505,2.024971623155505
WFL,etc_adjusted_mm,648.6107472339684,673.0893858716495,24.478638637681115,3.774010643837069,1.0377401064383707
WFL,percolation_balance_sum_mm,2487.696855543045,186.57325918545652,-2301.123596357588,-92.5001609914915,0.07499839008508495
WFL,mean_ponding_level_mm,39.68429289843403,50.03125143422536,10.34695853579133,26.07318356981391,1.2607318356981392
WFL,fraction_positive_ponding,0.6853146853146853,0.6554054054054054,-0.02990927990927994,-4.364313292884726,0.9563568670711527
