year,treatment,start_date,end_date,n_days,wet_days,dry_days,wet_fraction,dry_fraction,n_wet_spells,n_dry_spells,wet_to_dry_transitions,dry_to_wet_transitions,longest_wet_spell_days,longest_dry_spell_days,first_dry_spell_start,first_dry_spell_length_days,days_from_record_start_to_first_dry,longest_dry_spell_start,longest_dry_spell_end,mean_ponding_level_mm,median_ponding_level_mm,ponding_p25_mm,ponding_p75_mm,ponding_p95_mm,max_ponding_level_mm,mean_positive_ponding_mm,median_positive_ponding_mm,cumulative_daily_ponding_index_mm_days
2019,AWD,2019-05-14,2019-10-08,148,104,44,0.7027027027027027,0.2972972972972973,5,5,5,4,49,34,2019-06-01,3,18,2019-09-05,2019-10-08,38.91889340828145,34.2475900758798,0.0,67.0256256074578,98.84834678452734,132.738224717954,55.384579081015914,50.148343611807846,5759.996224425655
2019,DFL,2019-04-30,2019-10-03,157,83,74,0.5286624203821656,0.4713375796178344,2,3,2,2,50,38,2019-04-30,38,0,2019-04-30,2019-06-06,47.74070263704987,45.0737269256421,0.0,93.5364728872544,117.43395565781259,140.605107671602,90.30470257851601,92.0656522078588,7495.29031401683
2019,WFL,2019-05-14,2019-10-08,148,98,50,0.6621621621621622,0.33783783783783783,7,7,7,6,49,34,2019-05-30,1,16,2019-09-05,2019-10-08,38.34360732754099,45.01586000312865,0.0,68.51231529692237,92.90251260714652,99.2086738618185,57.90667229057209,60.82026407320015,5674.853884476066
2020,AWD,2020-05-06,2020-09-30,148,94,54,0.6351351351351351,0.36486486486486486,9,10,9,9,30,31,2020-05-06,1,0,2020-08-31,2020-09-30,33.297173818130666,29.6405018842974,0.0,58.9538834190869,88.92980815907997,143.534944306204,52.42533750088658,50.901792426141256,4927.9817250833385
2020,DFL,2020-04-24,2020-09-30,160,89,71,0.55625,0.44375,4,5,4,4,47,33,2020-04-24,33,0,2020-04-24,2020-05-26,45.49052228919439,64.24973986724065,0.0,88.56394302550538,97.45947976702361,109.33692865521,81.78071422776519,86.1036734851321,7278.483566271102
2020,WFL,2020-05-06,2020-09-30,148,97,51,0.6554054054054054,0.34459459459459457,5,6,5,5,56,35,2020-05-06,1,0,2020-08-27,2020-09-30,50.03125143422536,67.50940601457859,0.0,87.01632744671018,108.67886882353805,122.665348206222,76.33634239448817,80.5271233938948,7404.625212265353
