year,treatment,variable,n_valid,n_negative,percent_negative,minimum,maximum
2019,AWD,net_irrigation_calculated_mm,148,19,12.837837837837837,-121.135146111278,186.36000588169
2019,AWD,delta_ponding_storage_mm,148,80,54.054054054054056,-130.237458899194,100.993008589091
2019,AWD,delta_soil_storage_mm,148,45,30.405405405405407,-6.95257035682744,44.9919031971634
2019,AWD,percolation_balance_mm,148,50,33.78378378378378,-30.2898976639478,44.4083133987906
2019,AWD,percolation_model_mm,148,23,15.54054054054054,-1.53353047334804,11.9845273659084
2019,DFL,net_irrigation_calculated_mm,157,19,12.101910828025478,-53.282251122491,167.907981717385
2019,DFL,delta_ponding_storage_mm,157,43,27.388535031847134,-83.4362812825283,94.802166235019
2019,DFL,delta_soil_storage_mm,157,64,40.76433121019109,-6.9661994708049,64.4477600763677
2019,DFL,percolation_balance_mm,157,33,21.019108280254777,-18.5816592349893,51.5508211580358
2019,DFL,percolation_model_mm,157,0,0.0,0.0,44.67398608262
2019,WFL,net_irrigation_calculated_mm,148,17,11.486486486486488,-99.3075659689349,174.95197273677
2019,WFL,delta_ponding_storage_mm,148,52,35.13513513513514,-93.0127290115968,73.8984680205345
2019,WFL,delta_soil_storage_mm,148,51,34.45945945945946,-6.95257035682744,42.3299054328051
2019,WFL,percolation_balance_mm,148,31,20.945945945945947,-16.6110989515549,81.9496044816785
2019,WFL,percolation_model_mm,148,0,0.0,0.0,45.9176005886146
2020,AWD,net_irrigation_calculated_mm,148,20,13.513513513513514,-159.997114767904,163.002676635687
2020,AWD,delta_ponding_storage_mm,148,78,52.702702702702695,-143.534944306204,85.5698185511958
2020,AWD,delta_soil_storage_mm,148,42,28.37837837837838,-26.7292944923655,69.2976123604394
2020,AWD,percolation_balance_mm,148,47,31.756756756756754,-11.9605718684913,38.1539149664439
2020,AWD,percolation_model_heavy_soil_zone_mm,148,30,20.27027027027027,-0.38186,11.30856
2020,DFL,net_irrigation_calculated_mm,160,17,10.625,-89.1773238923088,123.439772745838
2020,DFL,delta_ponding_storage_mm,160,53,33.125,-102.859594340766,88.845999412193
2020,DFL,delta_soil_storage_mm,160,62,38.75,-15.6507819469566,55.7614658198008
2020,DFL,percolation_balance_mm,160,22,13.750000000000002,-5.96858551937889,21.4424702594043
2020,DFL,percolation_model_heavy_soil_zone_mm,160,0,0.0,0.0,9.187932729
2020,WFL,net_irrigation_calculated_mm,148,45,30.405405405405407,-139.486704919773,160.47384880552
2020,WFL,delta_ponding_storage_mm,148,54,36.486486486486484,-117.321167811484,99.889009593152
2020,WFL,delta_soil_storage_mm,148,47,31.756756756756754,-19.0046695964249,97.9005966107512
2020,WFL,percolation_balance_mm,148,63,42.567567567567565,-11.3319529022084,21.5663858037515
2020,WFL,percolation_model_heavy_soil_zone_mm,148,30,20.27027027027027,-0.00168,0.00805
