subdistrict,year,n_pixels,mean_ff,median_ff,sd_ff,mean_image_count
A,2000,233,0.5268924272836364,0.532551189263662,0.17179488504325865,4.206008583690987
A,2001,233,0.4379729276353305,0.436409078538418,0.15639688920811964,5.708154506437769
A,2002,233,0.5075410561152442,0.507409185171127,0.16680086481805828,5.71244635193133
A,2003,233,0.40990325415006323,0.388238782684008,0.19143982579849744,5.360515021459228
A,2004,233,0.5689019031891299,0.579407567779223,0.18058010617923656,5.67381974248927
A,2005,233,0.5079887446108673,0.530130624771118,0.16220187692290663,5.515021459227468
A,2006,233,0.5427819691899947,0.583569252490997,0.18039263813099662,5.296137339055794
A,2007,233,0.5383637632452517,0.583258753021558,0.18254553484554745,5.175965665236052
A,2008,233,0.598180751816702,0.643439372380575,0.17729004771072465,5.313304721030043
A,2009,233,0.5435592679920752,0.576730526983738,0.16062790013098155,5.394849785407725
A,2010,233,0.5013243415464883,0.519376742839813,0.16288999989659608,4.875536480686695
A,2011,233,0.3281157825889269,0.334693051874638,0.14119519911243086,5.626609442060086
A,2012,233,0.45945509030513315,0.465385633210341,0.16465555046351513,5.67381974248927
A,2013,233,0.4102316003949155,0.436082512140274,0.14568078319560238,5.75107296137339
A,2014,233,0.31296982638420184,0.300295940289895,0.1567561202075616,5.592274678111588
A,2015,233,0.2509453744057825,0.23508925922215,0.1482221859040606,5.210300429184549
A,2016,233,0.2796290620855226,0.267897850523392,0.16079109479981452,5.648068669527897
A,2017,233,0.19231930985289508,0.178123945991198,0.10503820427353996,5.6995708154506435
A,2018,233,0.26674283742140426,0.264917697757483,0.13193629231552115,4.690987124463519
A,2019,233,0.267737539896645,0.265109848976135,0.13082333488913167,5.51931330472103
A,2020,233,0.1759995166822585,0.164263482516011,0.10608760385869753,4.957081545064377
A,2021,233,0.18542906472086626,0.174055916567644,0.11020189621387805,5.618025751072961
B,2000,520,0.4306893369127694,0.436930289119482,0.2360345853993207,4.313461538461539
B,2001,520,0.32681343885246744,0.33074433604876197,0.19428347789220854,5.6596153846153845
B,2002,520,0.3875885215400036,0.3924728125333785,0.20817460806089863,5.075
B,2003,520,0.3385873940647155,0.32365220785141,0.23169772834116778,4.928846153846154
B,2004,520,0.40909398388228374,0.41150989035765295,0.23279626464853945,5.484615384615385
B,2005,520,0.3522744861924115,0.3532088908056415,0.21308270889592154,5.253846153846154
