year,n_balanced,mean_ff_balanced,median_ff_balanced,sd_ff_balanced,mean_image_count,spatial_se_balanced,n_full,mean_ff_full,median_ff_full,sd_ff_full,n_balanced_count_ge3,mean_ff_balanced_count_ge3,median_ff_balanced_count_ge3,mean_ff_balanced_count_weighted,full_minus_balanced
2000,2419,0.38347832875149057,0.393042206764221,0.24424406203971885,4.339809838776354,0.004965992735951073,3540,0.3017118294633506,0.26287092640995946,0.25042527939683146,2162,0.3995664635806508,0.421258801221848,0.40117303893742756,-0.08176649928813995
2001,2419,0.29284242264377497,0.289689067751169,0.20518016899343794,5.461347664324101,0.00417174206927876,3914,0.2144915076805829,0.156249698668641,0.20405705880336036,2374,0.29685041451779304,0.29473027897377846,0.3079685503090605,-0.07835091496319208
2002,2419,0.34823067355462733,0.348264683783054,0.2224365337826875,5.035965274906986,0.004522600065484208,3619,0.2800561642554907,0.244728037714958,0.22458943095304368,2320,0.3555821059472852,0.36285589262843154,0.3649983746299954,-0.06817450929913665
2003,2419,0.29739938061636967,0.274753746887048,0.23804687417725598,4.979330301777594,0.004839990942289002,4016,0.20725526650369563,0.108934645075351,0.23090537456312482,2385,0.299487528883834,0.278133762379487,0.3142427673929509,-0.09014411411267403
2004,2419,0.35645527722684706,0.351126253604889,0.2543594682238673,5.219098801157503,0.005171660104943269,3886,0.26359748391300614,0.18460604082793,0.25390301123599324,2384,0.3596052101315176,0.35620396137237553,0.3713019646970782,-0.09285779331384092
2005,2419,0.3117559694243183,0.307415676613649,0.23213119961524642,5.175279040926003,0.004719712902946482,3635,0.24394859864292143,0.183012800291181,0.23082522801109015,2334,0.31828231049143285,0.319443680470188,0.33108670198912166,-0.0678073707813969
2006,2419,0.31133050524189193,0.293222576379776,0.24584427943455842,4.990491938817693,0.004998528503217438,3658,0.23684095661670174,0.1542555664976435,0.24176604947584587,2312,0.3213389445246823,0.31151055470109,0.3371297286556427,-0.0744895486251902
2007,2419,0.30096802708369463,0.285526739805937,0.2408336795802792,4.593633732947499,0.004896652526084935,3381,0.24642558511028043,0.178787416468064,0.23763721015249062,2096,0.3376659338195963,0.3375806962450345,0.3411949033427363,-0.05454244197341421
2008,2419,0.36099010692012146,0.352301926662525,0.2618980119280862,4.599007854485325,0.005324934468963275,3500,0.29101926660836624,0.2233980561917025,0.2606013866820175,2309,0.372311593749879,0.368736505508423,0.3981256964630899,-0.06997084031175521
2009,2419,0.3363936881071708,0.343306798487902,0.23411739776076745,5.288135593220339,0.004760096466339778,3766,0.2559988897894904,0.190509960986674,0.23793315443311416,2378,0.3389808593106414,0.34775739833712604,0.34732502539328125,-0.08039479831768037
2010,2419,0.27989501637311337,0.269563680700958,0.21461310498345396,4.610582885489872,0.0043635333915074785,3807,0.20823621260524366,0.13649301789701,0.21337558656113995,2379,0.2830717195041257,0.272990623116493,0.2982222748336029,-0.0716588037678697
2011,2419,0.19089558525664432,0.170544098317623,0.16494056469366827,5.452252997106243,0.0033535867332538222,3865,0.139119667269255,0.0695577928175529,0.15878055746431105,2381,0.19324216421225893,0.176791965961456,0.19842846048028875,-0.051775917987389314
2012,2419,0.2690707186696052,0.256073039956391,0.21859489446520872,5.628358825961141,0.004444491501511664,3678,0.2075355462705722,0.12768065719865251,0.21472339622566256,2378,0.27134743684961987,0.260236025167008,0.27760147740419505,-0.061535172399033
2013,2419,0.28066748410663717,0.278011267383893,0.1972866864189361,5.55394791236048,0.004011251055499444,3636,0.21989568518428138,0.174884791796406,0.19774285997929064,2339,0.28621870436742963,0.285426582209766,0.29168327636850566,-0.06077179892235579
2014,2419,0.2019618161189513,0.176725234448289,0.16581450373563664,5.415460934270359,0.003371355742243581,3743,0.1501879296677589,0.083178885281086,0.16198564511659724,2359,0.20571449193694857,0.180129036772996,0.214916004401522,-0.05177388645119241
2015,2419,0.1537000785814626,0.101764891960192,0.16569941851550116,4.990905332782141,0.003369015818961781,3637,0.11641896003252471,0.0396394512305657,0.15501921033197782,2327,0.15812411008568686,0.112025934426735,0.16667803651343294,-0.03728111854893788
2016,2419,0.14756188104011445,0.100989129394293,0.15891368119741978,5.626705250103348,0.0032310475836309083,3693,0.11060548248879429,0.0368955613424381,0.14826049408552153,2370,0.14958949960169435,0.105962907119344,0.1538351606053906,-0.03695639855132016
2017,2419,0.12275295569106193,0.0859716561002036,0.12923008164726918,5.390243902439025,0.0026275179071593596,3635,0.09325158196437214,0.0405601668171585,0.12027159398323524,2344,0.12594261018408717,0.09017352124210451,0.12914975044776308,-0.02950137372668979
2018,2419,0.16705874765977846,0.129861705005169,0.1632505919612114,4.427035965274907,0.0033192260522069625,3345,0.13525153331960993,0.0642655443400145,0.156585720171266,2091,0.1872233884480193,0.166369543224573,0.18944094281859247,-0.03180721434016853
2019,2419,0.12679088125085913,0.0697725617016355,0.14607478093816845,5.386109962794543,0.002970005882585688,3412,0.10063801198112465,0.0287737144778172,0.13737801460867016,2286,0.13232647166013736,0.0795581246093207,0.1355182948764612,-0.02615286926973448
2020,2419,0.09488759250378782,0.044261485687457,0.12034597963828275,4.835469202149649,0.0024468855279169096,3782,0.06828424831653164,0.0118391253054142,0.1093366456456895,2262,0.09950435319809016,0.05183849148452285,0.10746266528775147,-0.026603344187256184
2021,2419,0.08291230681950673,0.0281627686539044,0.11471628546906264,5.695742042166184,0.0023324220682262218,3778,0.05941831683707428,0.00766382839841145,0.10160382472984503,2382,0.08351161301545523,0.0288733633933589,0.0850903965245183,-0.023493989982432455
