year,date,n_wells,mean_depth_cm,median_depth_cm,min_depth_cm,max_depth_cm,sd_across_wells_cm,spatial_range_cm
2019,2019-04-30,3,212.31313354715098,213.76464884675,208.289308146391,214.885443648312,3.529507527779633,6.5961355019209975
2019,2019-05-01,3,212.18899901026268,213.552224023134,208.537166332471,214.477606675183,3.1962469699819183,5.940440342712009
2019,2019-05-02,3,211.76939369587,213.070698363734,208.163189756812,214.074292967064,3.1631204007303277,5.9111032102520085
2019,2019-05-03,3,211.14355819088567,212.143001775993,207.652498844804,213.63517395186,3.114043347322898,5.9826751070559965
2019,2019-05-04,3,210.10630772554268,211.202188078417,205.910144664207,213.206590434004,3.769647931672019,7.296445769797003
2019,2019-05-05,3,209.454390343024,210.581596844337,205.148671297809,212.632902886926,3.8673474749931525,7.484231589117002
2019,2019-05-06,3,209.152401370808,210.034883792382,205.234891776848,212.187428543194,3.559286907533377,6.952536766345986
2019,2019-05-07,3,209.03119927575503,209.777350329556,205.531007489756,211.785240007953,3.1931821345226203,6.254232518197
2019,2019-05-08,3,208.13889526793102,208.653477027573,204.430399221511,211.332809554709,3.4798581713163004,6.902410333197992
2019,2019-05-09,3,206.195359078282,207.188062032689,201.433665624299,209.964349577858,4.351118999251056,8.530683953558992
2019,2019-05-10,3,202.09410749767667,200.240960297498,199.64317200704,206.398190188492,3.7394095211790406,6.755018181452016
2019,2019-05-11,3,198.63164571207503,199.201745335321,191.453806670697,205.239385130207,6.9104488675588716,13.78557845951002
2019,2019-05-12,3,196.74372284079868,198.770229041477,187.158463620472,204.302475860447,8.749819109967031,17.144012239975012
2019,2019-05-13,3,196.06527366471335,198.79317911675,185.459952520432,203.942689356958,9.538552896456933,18.482736836525987
2019,2019-05-14,3,195.859821886319,198.828155680353,185.388785097182,203.362524881422,9.347303600102874,17.973739784239996
2019,2019-05-15,3,192.20401113116066,197.508085298463,178.114299202889,200.98964889213,12.32559564201453,22.875349689241006
2019,2019-05-16,7,159.528115568524,176.448638579534,89.1771964925368,199.257542636568,43.95854502344105,110.0803461440312
2019,2019-05-17,7,157.96721952133703,177.714546955711,80.9521732860162,197.577898862333,45.625750568220205,116.6257255763168
2019,2019-05-18,7,155.77154068634587,173.055577504113,76.9234250682231,195.299772018147,46.588230938200084,118.3763469499239
2019,2019-05-19,7,152.58366196861957,164.153693921676,74.4573492683941,190.746807313512,45.807028138462655,116.2894580451179
