year,treatment,common_start,common_end,n_days,measured_irrigation_inflow_mm,measured_irrigation_inflow_mm_absolute_difference_vs_WFL,measured_irrigation_inflow_mm_percent_difference_vs_WFL,measured_irrigation_outflow_mm,measured_irrigation_outflow_mm_absolute_difference_vs_WFL,measured_irrigation_outflow_mm_percent_difference_vs_WFL,derived_net_irrigation_mm,derived_net_irrigation_mm_absolute_difference_vs_WFL,derived_net_irrigation_mm_percent_difference_vs_WFL,derived_water_balance_percolation_mm,derived_water_balance_percolation_mm_absolute_difference_vs_WFL,derived_water_balance_percolation_mm_percent_difference_vs_WFL,mean_ponding_level_mm,mean_ponding_level_mm_absolute_difference_vs_WFL,mean_ponding_level_mm_percent_difference_vs_WFL,positive_ponding_fraction,positive_ponding_fraction_absolute_difference_vs_WFL,positive_ponding_fraction_percent_difference_vs_WFL
2019,AWD,2019-05-14,2019-10-03,143,1420.5044256994083,-3592.1624710575575,-71.66170314212522,784.5696581780503,-1287.197289845175,-62.13040955563816,635.9347675213578,-2304.965181212383,-78.37618488873885,155.14589975209776,-2332.5509557909472,-93.76347245017398,40.27969387710248,0.5954009786684509,1.5003441794774823,0.7272727272727273,0.04195804195804198,6.122448979591841
2019,DFL,2019-05-14,2019-10-03,143,4237.067656085824,-775.5992406711421,-15.472786375909594,2412.253545984496,340.48659796127095,16.43459937837825,1824.814110101328,-1116.085838632413,-37.950486520732014,1384.3195691937,-1103.3772863493448,-44.353365800612636,52.41461758053727,12.730324682103237,32.079000915260316,0.5804195804195804,-0.1048951048951049,-15.306122448979593
2019,WFL,2019-05-14,2019-10-03,143,5012.666896756966,0.0,0.0,2071.7669480232253,0.0,0.0,2940.899948733741,0.0,0.0,2487.696855543045,0.0,0.0,39.68429289843403,0.0,0.0,0.6853146853146853,0.0,0.0
2020,AWD,2020-05-06,2020-09-30,148,1176.1835934874034,-393.79421743249145,-25.082788730737292,396.4760614382832,-622.8095369040836,-61.102554369152266,779.7075320491201,229.01531947159333,41.58680915418836,436.7818697797405,250.20861059428395,134.10743409138445,33.297173818130666,-16.734077616094694,-33.44724974168296,0.6351351351351351,-0.020270270270270285,-3.0927835051546415
2020,DFL,2020-05-06,2020-09-30,148,1909.397436534477,339.4196256145822,21.619389984607906,844.4116307865265,-174.8739675558403,-17.15652294511298,1064.9858057479505,514.2935931704237,93.39038784718988,783.6607617091939,597.0875025237374,320.0284462685104,49.17894301534528,-0.852308418880078,-1.7035520688515722,0.6013513513513513,-0.05405405405405406,-8.247422680412372
2020,WFL,2020-05-06,2020-09-30,148,1569.9778109198949,0.0,0.0,1019.2855983423668,0.0,0.0,550.6922125775268,0.0,0.0,186.57325918545652,0.0,0.0,50.03125143422536,0.0,0.0,0.6554054054054054,0.0,0.0
