year,treatment,start_date,end_date,n_days,gross_inflow_mm,gross_outflow_mm,net_irrigation_mm,rainfall_mm,etc_adjusted_mm,percolation_balance_sum_mm,percolation_model_sum_mm,percolation_model_heavy_soil_zone_sum_mm,mean_ponding_level_mm,max_ponding_level_mm,flooded_observation_days,ponding_valid_days,fraction_positive_ponding
2019,AWD,2019-05-14,2019-10-08,148,1420.5044256994083,784.5696581780504,635.9347675213578,185.2,679.9025549791367,155.1785625208193,434.92990240572584,,38.91889340828145,132.738224717954,104,148,0.7027027027027027
2019,DFL,2019-04-30,2019-10-03,157,4237.067656085824,2412.2535459844958,1824.8141101013277,200.0,635.0277737114077,1384.3195691936999,1242.7734662120859,,47.740702637049864,140.605107671602,83,157,0.5286624203821656
2019,WFL,2019-05-14,2019-10-08,148,5012.666896756966,2071.7669480232253,2940.8999487337414,185.2,654.3502149380645,2487.6968555430444,2462.5143222414927,,38.34360732754098,99.2086738618185,98,148,0.6621621621621622
2020,AWD,2020-05-06,2020-09-30,148,1176.1835934874034,396.4760614382831,779.7075320491201,356.8,664.7996026472932,436.7818697797406,,177.92138,33.297173818130666,143.534944306204,94,148,0.6351351351351351
2020,DFL,2020-04-24,2020-09-30,160,1912.191781057444,849.7567402220328,1062.4350408354117,374.8,654.1271423029125,783.6746068451461,,507.049365943,45.49052228919439,109.33692865521,89,160,0.55625
2020,WFL,2020-05-06,2020-09-30,148,1569.9778109198949,1019.2855983423669,550.6922125775268,356.8,673.0893858716495,186.57325918545655,,0.08674000000000001,50.031251434225354,122.665348206222,97,148,0.6554054054054054
