year,treatment,n_balance_comparable,mean_balance_difference_mm,max_balance_abs_difference_mm,rmse_balance_mm
2019,AWD,148,-6.110609647441586e-15,3.694822225952521e-13,4.02860841349814e-14
2019,DFL,157,-3.652366198665789e-16,4.3787196091216174e-13,6.754187430671492e-14
2019,WFL,148,4.409221673959482e-15,6.963318810448982e-13,1.0678790791409983e-13
2020,AWD,148,-5.218267688507362e-16,4.156675004196586e-13,3.740170078121506e-14
2020,DFL,160,4.759227387548946e-15,4.5341508325691393e-13,3.993474825859939e-14
2020,WFL,148,-6.790476516175943e-15,4.298783551348606e-13,4.9962653177550904e-14
