year,treatment,n_rows,first_date,last_date,n_unique_dates,expected_calendar_days,missing_calendar_days
2019,AWD,148,2019-05-14,2019-10-08,148,148,0
2019,DFL,157,2019-04-30,2019-10-03,157,157,0
2019,WFL,148,2019-05-14,2019-10-08,148,148,0
2020,AWD,148,2020-05-06,2020-09-30,148,148,0
2020,DFL,160,2020-04-24,2020-09-30,160,160,0
2020,WFL,148,2020-05-06,2020-09-30,148,148,0
