year,surface_variable,best_lag_days,spearman_rho,pearson_r,n_days
2019,mean_ponding_level_mm,7,-0.6611615250896344,-0.6595840343348884,155
2019,rainfall_mm,7,0.22526764346857855,0.0060063625584579,155
2019,total_irrigation_inflow_mm,7,-0.505350988944654,-0.3226458800640864,155
2019,total_irrigation_outflow_mm,3,-0.6035901202663553,-0.2782321729529994,159
2019,total_net_irrigation_mm,7,-0.33865111041772966,-0.16340094318870627,155
2019,total_percolation_balance_mm,7,-0.2667769865433711,-0.26925146135740746,155
2020,mean_ponding_level_mm,7,0.7114523848233283,0.725216438503456,150
2020,rainfall_mm,3,-0.23853910576075968,-0.07743198313111062,154
2020,total_irrigation_inflow_mm,7,0.4414339993475547,0.15243401456700562,150
2020,total_irrigation_outflow_mm,7,0.6294957220664619,0.10449226294867837,150
2020,total_net_irrigation_mm,7,0.28929016192275886,0.05115401489101426,150
2020,total_percolation_balance_mm,7,0.08696572022379562,-0.02785668934129482,150
