year,treatment,common_start,common_end,n_days,measured_irrigation_inflow_mm,measured_irrigation_outflow_mm,derived_net_irrigation_mm,derived_water_balance_percolation_mm,mean_ponding_level_mm,positive_ponding_percent
2019,AWD,2019-05-14,2019-10-03,143,1420.5044256994083,784.5696581780503,635.9347675213578,155.14589975209776,40.27969387710248,72.72727272727273
2019,DFL,2019-05-14,2019-10-03,143,4237.067656085824,2412.253545984496,1824.814110101328,1384.3195691937,52.41461758053727,58.04195804195804
2019,WFL,2019-05-14,2019-10-03,143,5012.666896756966,2071.7669480232253,2940.899948733741,2487.696855543045,39.68429289843403,68.53146853146853
2020,AWD,2020-05-06,2020-09-30,148,1176.1835934874034,396.4760614382832,779.7075320491201,436.7818697797405,33.297173818130666,63.51351351351351
2020,DFL,2020-05-06,2020-09-30,148,1909.397436534477,844.4116307865265,1064.9858057479505,783.6607617091939,49.17894301534528,60.13513513513513
2020,WFL,2020-05-06,2020-09-30,148,1569.9778109198949,1019.2855983423668,550.6922125775268,186.57325918545652,50.03125143422536,65.54054054054053
