year,irrigation,agronomic_treatment,n_plots,mean_yield_t_ha,sd_between_plots_t_ha,min_plot_mean_t_ha,max_plot_mean_t_ha
2019,AWD,160 N + FUNG,2,11.358165551533016,0.5401272187894588,10.97623793242356,11.740093170642472
2019,DFL,160 N + FUNG,2,10.985726817312429,0.16912498998169515,10.866137390028266,11.105316244596594
2019,WFL,160 N + FUNG,2,11.228598557901037,0.07083806339297027,11.178508482909747,11.27868863289233
2020,AWD,160 N + FUNG,2,11.297064044602443,0.1615935137231549,11.182800175253039,11.411327913951848
2020,DFL,160 N + FUNG,2,10.578972671354087,0.42903446997250133,10.275599488273755,10.88234585443442
2020,WFL,160 N + FUNG,2,11.131656318081113,0.5622373606536359,10.7340944677265,11.529218168435724
