year,date,groundwater_mean_depth_cm,groundwater_median_depth_cm,groundwater_n_wells,groundwater_sd_across_wells_cm,rainfall_mm,mean_ponding_level_mm,total_irrigation_inflow_mm,total_irrigation_outflow_mm,total_net_irrigation_mm,total_percolation_balance_mm
2019,2019-04-30,212.31313354715098,213.76464884675,3,3.529507527779633,0.0,0.0,0.0,0.0,0.0,2.33146835171283e-14
2019,2019-05-01,212.18899901026268,213.552224023134,3,3.1962469699819183,0.0,0.0,0.0,0.0,0.0,-2.0872192862952902e-14
2019,2019-05-02,211.76939369587,213.070698363734,3,3.1631204007303277,0.8,0.0,0.0,0.0,0.0,-6.43929354282591e-15
2019,2019-05-03,211.14355819088567,212.143001775993,3,3.114043347322898,1.6,0.0,0.0,0.0,0.0,2.77555756156289e-14
2019,2019-05-04,210.10630772554268,211.202188078417,3,3.769647931672019,0.4,0.0,0.0,0.0,0.0,3.71924713249427e-14
2019,2019-05-05,209.454390343024,210.581596844337,3,3.8673474749931525,1.0,0.0,0.0,0.0,0.0,8.38218383591993e-15
2019,2019-05-06,209.152401370808,210.034883792382,3,3.559286907533377,0.0,0.0,0.0,0.0,0.0,2.88657986402541e-15
2019,2019-05-07,209.03119927575503,209.777350329556,3,3.1931821345226203,0.0,0.0,0.0,0.0,0.0,0.0
2019,2019-05-08,208.13889526793102,208.653477027573,3,3.4798581713163004,9.4,0.0,0.0,0.0,0.0,0.0
2019,2019-05-09,206.195359078282,207.188062032689,3,4.351118999251056,6.6,0.0,0.0,0.0,0.0,-1.4210854715202e-14
2019,2019-05-10,202.09410749767667,200.240960297498,3,3.7394095211790406,0.0,0.0,0.0,0.0,0.0,-5.3290705182007506e-15
2019,2019-05-11,198.63164571207503,199.201745335321,3,6.9104488675588716,4.0,0.0,0.0,0.0,0.0,6.88338275267597e-14
2019,2019-05-12,196.74372284079868,198.770229041477,3,8.749819109967031,0.0,0.0,0.0,0.0,0.0,-1.7541523789077502e-14
2019,2019-05-13,196.06527366471335,198.79317911675,3,9.538552896456933,0.0,0.0,0.0,0.0,0.0,1.0658141036401501e-14
2019,2019-05-14,195.859821886319,198.828155680353,3,9.347303600102874,0.0,26.435391571727337,399.743142138355,38.4311635198957,361.31197861846,97.87506908107324
2019,2019-05-15,192.20401113116066,197.508085298463,3,12.32559564201453,0.0,56.8912845330442,149.1610836062314,70.3438609326954,78.817222673536,47.138554491142145
2019,2019-05-16,159.528115568524,176.448638579534,7,43.95854502344105,0.0,62.108837677291696,223.65839186934608,184.9301719067803,38.7282199625658,47.60251631046945
2019,2019-05-17,157.96721952133703,177.714546955711,7,45.625750568220205,6.8,59.78250717105809,215.9211793738656,146.8484183497641,69.0727610241015,40.169063671769884
2019,2019-05-18,155.77154068634587,173.055577504113,7,46.588230938200084,13.4,64.7094984200783,217.3025879474505,226.9763326742039,-9.673744726753398,28.439634655920056
2019,2019-05-19,152.58366196861957,164.153693921676,7,45.807028138462655,10.800000000000002,63.445029045108434,190.70271469324402,175.2304084460671,15.4723062471769,43.68070234940991
2019,2019-05-20,148.00665720369622,161.529492415148,7,45.963189326136124,1.2,60.450351622560696,144.8718724338319,89.6184178544017,55.2534545794302,57.29176271023016
2019,2019-05-21,144.61383107277666,160.280607571529,7,49.23735684284391,0.0,57.60065144382859,73.5922115227069,39.2708276536644,34.3213838690425,40.50424774133805
2019,2019-05-22,141.25339751102075,158.850205175307,7,52.85939793122467,0.0,56.57715965089267,60.844713570859,0.0,60.844713570859,40.912961110541126
2019,2019-05-23,138.2157471117337,157.530956305638,7,55.05719351356474,1.8,56.4568100046034,31.8423728200161,0.0,31.8423728200161,32.31640807430638
2019,2019-05-24,138.1454473629509,157.110310434666,7,53.08440397421848,0.0,37.557696004739995,30.7993500766776,85.70203818420009,-54.9026881075225,22.90859084969435
2019,2019-05-25,139.78803856197626,157.905725738007,7,49.771337926013224,0.4000000000000001,21.3305524675258,30.7993500766776,0.0,30.7993500766776,38.4114754648857
2019,2019-05-26,141.12781674249612,158.095162287228,7,46.85735604421259,0.6,15.803113494184416,30.7993500766776,0.0,30.7993500766776,39.94841552250419
2019,2019-05-27,139.58932853806664,157.857568626325,7,47.22201884944807,9.0,13.948157152971952,21.8162063043133,1.18625481281487,20.62995149149843,26.313518489478476
2019,2019-05-28,138.57609660154188,157.961956280681,7,47.24049271442454,0.4000000000000001,15.01099257382912,30.7993500766776,0.52382597330035,30.27552410337725,37.5920791592206
2019,2019-05-29,141.0311290173731,159.758930680923,7,45.330664424540366,0.0,10.495284939318925,15.3996750383388,0.0,15.3996750383388,26.55065374379184
2019,2019-05-30,140.0305048329706,159.743131414147,7,45.4196443120968,0.0,6.801225411027033,0.0,8.39466656382866,-8.39466656382866,9.760587657963628
2019,2019-05-31,137.09624751039857,158.599382145023,7,46.730255245572124,0.0,1.4854600356181586,75.4207315507241,60.1752103066986,15.2455212440255,8.318567526184959
2019,2019-06-01,134.9297073473733,157.211058571912,7,45.013534895111796,0.0,0.0,0.0,0.0,0.0,3.5716792376246014
2019,2019-06-02,137.76341426299797,152.346786315508,7,38.373684538551494,0.0,0.0,0.0,0.0,0.0,2.2098993995005753
2019,2019-06-03,138.79235014643305,152.716523268475,7,33.93986201305306,0.0,0.0,0.0,0.0,0.0,1.2095667792120088
2019,2019-06-04,130.16574963845466,146.313117312899,7,42.44657694837275,0.0,7.626771680079087,139.6845404835152,28.2376141340499,111.4469263494653,34.972182297221174
2019,2019-06-05,126.61155270442238,143.7328083694,7,44.878413158159695,0.0,12.554139472159974,23.0995125575082,0.0,23.0995125575082,20.05774128138915
2019,2019-06-06,127.48126393606766,145.564160096897,7,42.71460820533576,0.0,8.9510986859448,0.0,0.0,0.0,10.549007120247598
2019,2019-06-07,117.06296742890952,118.995902617507,7,40.24301865428546,0.0,20.310078342589332,259.01039765086574,11.9368014447177,247.073596206148,80.89372305592596
2019,2019-06-08,102.67029661971218,84.7660919742026,7,44.88478120902709,0.0,30.22404826377314,65.1763975256307,0.0,65.1763975256307,63.18892230415106
2019,2019-06-09,93.3145277475836,84.6851150839527,7,51.58860317052673,0.0,29.633399621620892,67.597921437674,0.0,67.597921437674,51.178876381653836
2019,2019-06-10,91.99428677533062,80.2694249509429,7,51.05936674365878,0.20000000000000004,31.1843673619823,53.5985705471867,7.2063858752352e-06,53.5985633408008,35.79298913089112
2019,2019-06-11,95.89525763005533,83.2840938406292,7,48.61377458872147,0.20000000000000004,31.810955061213235,43.3468125484637,0.0,43.3468125484637,46.807819832805535
2019,2019-06-12,94.54222216845928,80.7592198127722,7,48.142238206110456,0.0,52.2514596445479,315.4451546015136,1.02242425949587,314.4227303420177,116.2644707271472
2019,2019-06-13,92.88042123085766,79.4517629228096,7,47.41770376326995,0.0,92.94130340572589,115.65206159083809,13.2096437309122,102.4424178599259,78.44427789090601
2019,2019-06-14,89.99833409877996,70.7627912653919,7,47.221240459645166,1.2,97.82331815082229,186.7000022772895,11.590608259943938,175.1093940173455,98.98426402599094
2019,2019-06-15,88.78745185951371,72.2436675704429,7,45.420000092979166,0.0,105.9477152048014,105.11334115821495,23.1261052537214,81.98723590449355,85.3652666415409
2019,2019-06-16,87.18971375517552,75.2587471645001,7,43.95404176985809,0.0,101.30084529286637,139.8280960783058,22.18100658106473,117.6470894972411,81.6451276082463
2019,2019-06-17,87.73882381193687,76.3393568967999,7,42.48377979578654,0.0,76.1062935686912,94.6229553556244,248.25706790742532,-153.6341125518013,28.222789771097126
2019,2019-06-18,89.24508505620246,83.2836311532034,7,41.02950524532315,0.0,39.89624214663066,65.1120898881454,10.788365745977693,54.32372414216771,42.37286417926831
2019,2019-06-19,86.11752612578873,78.7292228321547,7,40.90470535348929,0.0,45.11998443861833,103.974436830435,45.1829728592935,58.7914639711415,37.978396378780275
2019,2019-06-20,82.96369306632843,74.5447369856805,7,40.95784748588031,0.0,46.447024980627994,57.9329973520828,17.988935981289792,39.94406137079301,42.633810899486676
2019,2019-06-21,79.19980634283658,75.2445629114831,7,41.40491187244321,0.0,66.26701001067933,330.9174240948191,1.703037153023629,329.2143869417958,113.51460667294066
2019,2019-06-22,71.41070686560002,72.6330994532162,7,43.86943165372537,0.4000000000000001,104.2818711465012,104.59413936452819,10.648102022062977,93.9460373424652,70.8189864783614
2019,2019-06-23,70.01869189115828,73.2085352402777,7,43.67095771382225,0.0,104.6453492863842,94.4345665404408,28.06806068390363,66.3665058565372,58.09596411617843
2019,2019-06-24,69.30590360094288,78.0625218104987,7,44.371637533457765,0.0,102.41192731222255,107.880017530617,39.60815324810799,68.271864282509,50.512319294547815
2019,2019-06-25,68.41257310106928,79.8670726660248,7,43.525739195747825,0.0,92.23218098344167,85.8728674369975,47.531378715798525,38.341488721199,73.13029431511514
2019,2019-06-26,63.03745400221438,75.597496335746,7,35.89481585852931,0.0,85.86445533760396,125.8026328345954,17.580348176021555,108.22228465857378,70.01887324981394
2019,2019-06-27,53.74097768216655,68.1567805054314,7,29.84131587253974,0.0,89.1299661867173,128.73380995789802,81.4874843805943,47.2463255773037,44.75888663949302
