series,slope,lag1_raw,lag1_residual,durbin_watson,bootstrap_median,bootstrap_low95,bootstrap_high95,bootstrap_prob_slope_negative
balanced_primary,-0.01323612542017473,0.8483363885273603,0.2780971239516303,1.4317451236863785,-0.00018511739170464777,-0.009132439858850589,0.00930236303577295,0.51645
full_sample,-0.010166642192484665,0.7901404162674865,0.20754844877527764,1.5700721165942435,-8.665458426991922e-05,-0.006987057058112582,0.00710299072805345,0.509
count_ge3,-0.013481116605410836,0.8413511799292508,0.29073398118223465,1.4043080150751106,-0.00015990460707846117,-0.009221927503779467,0.009543371520998026,0.51115
count_weighted,-0.013877739046654684,0.8497315546699264,0.32765958452145294,1.328574038374277,-0.00026026631329580726,-0.009843099721296513,0.009813178695478406,0.51975
district_WS,-0.014583605826382491,0.8386893884216293,0.43945953541861926,1.0430355650617156,-0.0002558155592830299,-0.01028293123182923,0.010762063966142663,0.5208
