orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,rice_support_points_n,rice_support_points_covered_n,rice_support_coverage_fraction,rice_support_coverage_pct,all_rice_support_covered,rice_support_ge_99pct_covered
ascending,15,2015-04-04,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-04-16,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-04-28,2015,1,1,4331,4146,0.9572846917571,95.72846917570999,False,False
ascending,15,2015-05-22,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-06-03,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-06-15,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-06-27,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-07-09,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-07-21,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-08-02,2015,1,1,4331,4146,0.9572846917571,95.72846917570999,False,False
ascending,15,2015-08-14,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-08-26,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-09-07,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2015-09-19,2015,1,1,4331,4331,1.0,100.0,True,True
ascending,15,2016-04-10,2016,2,2,4331,4331,1.0,100.0,True,True
ascending,15,2016-04-22,2016,2,2,4331,4331,1.0,100.0,True,True
ascending,15,2016-05-04,2016,2,2,4331,4331,1.0,100.0,True,True
