IdSensore,Tipologia,IdTipologia,UnitaMisura,DataMinimaRT,DataMinimaPubblicazione,DataMassimaRT,UTM Nord,UTM Est,Quota,idStazione,Nome,Provincia,Comune,_lon_wgs84,_lat_wgs84
12754,Umidità Relativa,11,%,18/11/2020,,31/08/2026,5130098,564213,1905,28,Chiesa in Valmalenco Alpe Entova,SO,Chiesa in Valmalenco,9.834123382219794,46.321415288372336
12755,Temperatura,3,°C,25/11/2020,,01/09/2026,5048372,519174,173,1510,Monza v.Monte Generoso,MB,Monza,9.245807488805253,45.588625528036445
12756,Umidità Relativa,11,%,25/11/2020,,01/09/2026,5048372,519174,173,1510,Monza v.Monte Generoso,MB,Monza,9.245807488805253,45.588625528036445
12757,Temperatura,3,°C,25/11/2020,,01/09/2026,5050479,496327,215,1511,Rescaldina ,MI,Rescaldina,8.952896675533205,45.60784533498041
12758,Umidità Relativa,11,%,25/11/2020,,01/09/2026,5050479,496327,215,1511,Rescaldina ,MI,Rescaldina,8.952896675533205,45.60784533498041
12759,Temperatura,3,°C,25/11/2020,,01/09/2026,5042449,500406,160,1512,Pogliano Milanese ,MI,Pogliano Milanese,9.005199956067525,45.535576719257335
12760,Umidità Relativa,11,%,24/11/2020,,01/09/2026,5042449,500406,160,1512,Pogliano Milanese ,MI,Pogliano Milanese,9.005199956067525,45.535576719257335
12761,Altezza Neve,4,cm,02/12/2020,,31/08/2026,5126494,526127,1362,1420,Gordona ,SO,Gordona,9.339203152914003,46.29151911108225
14001,Umidità Relativa,11,%,13/01/2012,,31/08/2026,5082261,561209,1138,1077,Oltre il Colle Zambla,BG,Oltre il Colle,9.788939674669368,45.89119304590421
14006,Velocità Vento,9,m/s,16/09/2013,,31/08/2026,5082261,561209,1138,1077,Oltre il Colle Zambla,BG,Oltre il Colle,9.788939674669368,45.89119304590421
14007,Direzione Vento,10,°,13/01/2012,,31/08/2026,5082261,561209,1138,1077,Oltre il Colle Zambla,BG,Oltre il Colle,9.788939674669368,45.89119304590421
14014,Temperatura,3,°C,13/01/2012,,31/08/2026,5082261,561209,1138,1077,Oltre il Colle Zambla,BG,Oltre il Colle,9.788939674669368,45.89119304590421
14018,Precipitazione,2,mm,13/01/2012,,31/08/2026,5082261,561209,1138,1077,Oltre il Colle Zambla,BG,Oltre il Colle,9.788939674669368,45.89119304590421
14019,Radiazione Globale,12,W/m²,13/01/2012,,31/08/2026,5082261,561209,1138,1077,Oltre il Colle Zambla,BG,Oltre il Colle,9.788939674669368,45.89119304590421
14024,Livello Idrometrico,1,cm,23/01/2012,01/01/2025,31/08/2026,5063460,471791,58,1079,Sesto Calende alzaia,VA,Sesto Calende,8.637492070417645,45.72412027586518
14031,Velocità Vento,9,m/s,12/02/2012,,31/08/2026,5066146,486058,379,1211,Castronno ,VA,Castronno,8.820755588702655,45.74873081659228
14038,Radiazione Globale,12,W/m²,27/02/2012,,31/08/2026,5109097,588704,1950,836,Aprica ,SO,Aprica,10.148256664341911,46.1296816331379
14039,Umidità Relativa,11,%,27/02/2012,,31/08/2026,5109097,588704,1950,836,Aprica ,SO,Aprica,10.148256664341911,46.1296816331379
14049,Velocità Vento,9,m/s,17/02/2012,,31/08/2026,4997179,594005,39,150,Pieve San Giacomo ,CR,Pieve San Giacomo,10.19526122938189,45.121828405915494
14055,Umidità Relativa,11,%,13/03/2012,,31/08/2026,5074143,639089,75,1324,Limone sul Garda ,BS,Limone sul Garda,10.790054267532902,45.80682611377937
14058,Temperatura,3,°C,13/03/2012,,31/08/2026,5074143,639089,75,1324,Limone sul Garda ,BS,Limone sul Garda,10.790054267532902,45.80682611377937
14065,Velocità Vento,9,m/s,13/03/2012,,31/08/2026,5074143,639089,75,1324,Limone sul Garda ,BS,Limone sul Garda,10.790054267532902,45.80682611377937
14066,Direzione Vento,10,°,13/03/2012,,31/08/2026,5074143,639089,75,1324,Limone sul Garda ,BS,Limone sul Garda,10.790054267532902,45.80682611377937
14072,Umidità Relativa,11,%,15/03/2012,,31/08/2026,5073930,602209,1069,1325,Collio Memmo,BS,Collio,10.315518370560591,45.811359318469144
14075,Temperatura,3,°C,15/03/2012,,31/08/2026,5073930,602209,1069,1325,Collio Memmo,BS,Collio,10.315518370560591,45.811359318469144
14082,Velocità Vento,9,m/s,15/03/2012,,31/08/2026,5073930,602209,1069,1325,Collio Memmo,BS,Collio,10.315518370560591,45.811359318469144
14083,Direzione Vento,10,°,15/03/2012,,31/08/2026,5073930,602209,1069,1325,Collio Memmo,BS,Collio,10.315518370560591,45.811359318469144
14089,Umidità Relativa,11,%,22/03/2012,,31/08/2026,5054923,626015,70,1326,Toscolano-Maderno ,BS,Toscolano-Maderno,10.616868232477385,45.636412091653845
14092,Temperatura,3,°C,22/03/2012,,31/08/2026,5054923,626015,70,1326,Toscolano-Maderno ,BS,Toscolano-Maderno,10.616868232477385,45.636412091653845
14099,Velocità Vento,9,m/s,22/03/2012,,31/08/2026,5054923,626015,70,1326,Toscolano-Maderno ,BS,Toscolano-Maderno,10.616868232477385,45.636412091653845
14100,Direzione Vento,10,°,22/03/2012,,31/08/2026,5054923,626015,70,1326,Toscolano-Maderno ,BS,Toscolano-Maderno,10.616868232477385,45.636412091653845
14113,Velocità Vento,9,m/s,09/03/2012,,31/08/2026,5043257,516051,142,147,Cinisello Balsamo Parco Nord,MI,Cinisello Balsamo,9.205603412149348,45.5426646784088
14118,Precipitazione,2,mm,18/03/2012,,31/08/2026,5073930,602209,1069,1325,Collio Memmo,BS,Collio,10.315518370560591,45.811359318469144
14119,Precipitazione,2,mm,18/03/2012,,31/08/2026,5074143,639089,75,1324,Limone sul Garda ,BS,Limone sul Garda,10.790054267532902,45.80682611377937
14120,Precipitazione,2,mm,25/03/2012,,31/08/2026,5054923,626015,70,1326,Toscolano-Maderno ,BS,Toscolano-Maderno,10.616868232477385,45.636412091653845
14121,Precipitazione,2,mm,02/04/2012,,31/08/2026,5037538,515199,124,1327,Milano v.Rosellini,MI,Milano,9.194512447247249,45.49120675554676
14125,Temperatura,3,°C,20/04/2012,,31/08/2026,5112157,580182,357,1328,Teglio S. Giacomo,SO,Teglio,10.038477988191861,46.158272308660344
14128,Precipitazione,2,mm,20/04/2012,,31/08/2026,5112157,580182,357,1328,Teglio S. Giacomo,SO,Teglio,10.038477988191861,46.158272308660344
14129,Livello Idrometrico,1,cm,20/04/2012,01/01/2025,31/08/2026,5112157,580182,357,1328,Teglio S. Giacomo,SO,Teglio,10.038477988191861,46.158272308660344
14130,Temperatura,3,°C,18/04/2012,,31/08/2026,5090913,488398,269,1329,Lavena Ponte Tresa via della Boschiva,VA,Lavena Ponte Tresa,8.850242265176576,45.97169030132426
14131,Precipitazione,2,mm,18/04/2012,,31/08/2026,5090913,488398,269,1329,Lavena Ponte Tresa via della Boschiva,VA,Lavena Ponte Tresa,8.850242265176576,45.97169030132426
14132,Umidità Relativa,11,%,18/04/2012,,31/08/2026,5090913,488398,269,1329,Lavena Ponte Tresa via della Boschiva,VA,Lavena Ponte Tresa,8.850242265176576,45.97169030132426
14139,Temperatura,3,°C,18/04/2012,,31/08/2026,5068834,497872,400,1330,Olgiate Comasco v.Repubblica,CO,Olgiate Comasco,8.972629613820205,45.77306208046589
14141,Precipitazione,2,mm,08/06/2016,,31/08/2026,5068834,497872,400,1330,Olgiate Comasco v.Repubblica,CO,Olgiate Comasco,8.972629613820205,45.77306208046589
14145,Umidità Relativa,11,%,18/04/2012,,31/08/2026,5068834,497872,400,1330,Olgiate Comasco v.Repubblica,CO,Olgiate Comasco,8.972629613820205,45.77306208046589
