duplicate_group_key,scene_id,canonical_rank,is_canonical_scene,canonical_scene_id,duplicate_group_size,platform,datetime,end_datetime,orbit_state,relative_orbit,bbox,vv_assets_n,vh_assets_n,data_role_assets_n,tiff_assets_n,asset_rows_n
"S1A|2015-05-02 05:34:49.437232+00:00|2015-05-02 05:35:18.353295+00:00|descending|66|(6.641566, 45.078548, 10.303509, 47.212486)",S1A_IW_GRDH_1SDV_20150502T053449_20150502T053518_005738_0075E4_6258_COG,1,True,S1A_IW_GRDH_1SDV_20150502T053449_20150502T053518_005738_0075E4_6258_COG,1,S1A,2015-05-02 05:34:49.437232+00:00,2015-05-02 05:35:18.353295+00:00,descending,66,"[6.641566, 45.078548, 10.303509, 47.212486]",4,4,3,2,11
"S1A|2015-05-02 05:35:18.354791+00:00|2015-05-02 05:35:43.353455+00:00|descending|66|(6.313295, 43.579407, 9.860241, 45.474388)",S1A_IW_GRDH_1SDV_20150502T053518_20150502T053543_005738_0075E4_5FF8_COG,1,True,S1A_IW_GRDH_1SDV_20150502T053518_20150502T053543_005738_0075E4_5FF8_COG,1,S1A,2015-05-02 05:35:18.354791+00:00,2015-05-02 05:35:43.353455+00:00,descending,66,"[6.313295, 43.579407, 9.860241, 45.474388]",4,4,3,2,11
"S1A|2015-05-09 05:26:53.108245+00:00|2015-05-09 05:27:18.106872+00:00|descending|168|(8.475952, 44.285446, 12.101841, 46.184986)",S1A_IW_GRDH_1SDV_20150509T052653_20150509T052718_005840_007841_A5F8_COG,1,True,S1A_IW_GRDH_1SDV_20150509T052653_20150509T052718_005840_007841_A5F8_COG,1,S1A,2015-05-09 05:26:53.108245+00:00,2015-05-09 05:27:18.106872+00:00,descending,168,"[8.475952, 44.285446, 12.101841, 46.184986]",4,4,3,2,11
"S1A|2015-05-14 05:34:49.450442+00:00|2015-05-14 05:35:18.352281+00:00|descending|66|(6.638903, 45.074821, 10.337654, 47.211933)",S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,1,True,S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,1,S1A,2015-05-14 05:34:49.450442+00:00,2015-05-14 05:35:18.352281+00:00,descending,66,"[6.638903, 45.074821, 10.337654, 47.211933]",4,4,3,2,11
"S1A|2015-05-14 05:35:18.353775+00:00|2015-05-14 05:35:43.352342+00:00|descending|66|(6.310565, 43.575729, 9.890305, 45.475071)",S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,1,True,S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,1,S1A,2015-05-14 05:35:18.353775+00:00,2015-05-14 05:35:43.352342+00:00,descending,66,"[6.310565, 43.575729, 9.890305, 45.475071]",4,4,3,2,11
"S1A|2015-05-15 17:22:39.122452+00:00|2015-05-15 17:23:04.121368+00:00|ascending|88|(5.714616, 44.24662, 9.358736, 46.14497)",S1A_IW_GRDH_1SDV_20150515T172239_20150515T172304_005935_007A51_F1D6_COG,1,True,S1A_IW_GRDH_1SDV_20150515T172239_20150515T172304_005935_007A51_F1D6_COG,1,S1A,2015-05-15 17:22:39.122452+00:00,2015-05-15 17:23:04.121368+00:00,ascending,88,"[5.714616, 44.24662, 9.358736, 46.14497]",4,4,3,2,11
"S1A|2015-05-21 05:26:40.276274+00:00|2015-05-21 05:27:09.178709+00:00|descending|168|(8.644677, 44.850018, 12.337975, 46.986782)",S1A_IW_GRDH_1SDV_20150521T052640_20150521T052709_006015_007C1A_4BDE_COG,1,True,S1A_IW_GRDH_1SDV_20150521T052640_20150521T052709_006015_007C1A_4BDE_COG,1,S1A,2015-05-21 05:26:40.276274+00:00,2015-05-21 05:27:09.178709+00:00,descending,168,"[8.644677, 44.850018, 12.337975, 46.986782]",4,4,3,2,11
"S1A|2015-05-21 05:27:09.180202+00:00|2015-05-21 05:27:34.178194+00:00|descending|168|(8.312232, 43.351528, 11.885357, 45.2505)",S1A_IW_GRDH_1SDV_20150521T052709_20150521T052734_006015_007C1A_DA90_COG,1,True,S1A_IW_GRDH_1SDV_20150521T052709_20150521T052734_006015_007C1A_DA90_COG,1,S1A,2015-05-21 05:27:09.180202+00:00,2015-05-21 05:27:34.178194+00:00,descending,168,"[8.312232, 43.351528, 11.885357, 45.2505]",4,4,3,2,11
"S1A|2015-05-22 17:14:25.193808+00:00|2015-05-22 17:14:50.192030+00:00|ascending|15|(7.778301, 44.188496, 11.439551, 46.093578)",S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,1,True,S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,1,S1A,2015-05-22 17:14:25.193808+00:00,2015-05-22 17:14:50.192030+00:00,ascending,15,"[7.778301, 44.188496, 11.439551, 46.093578]",4,4,3,2,11
"S1A|2015-06-03 17:14:26.012646+00:00|2015-06-03 17:14:51.011312+00:00|ascending|15|(7.778862, 44.188496, 11.354915, 46.084263)",S1A_IW_GRDH_1SDV_20150603T171426_20150603T171451_006212_0081AF_101C_COG,1,True,S1A_IW_GRDH_1SDV_20150603T171426_20150603T171451_006212_0081AF_101C_COG,1,S1A,2015-06-03 17:14:26.012646+00:00,2015-06-03 17:14:51.011312+00:00,ascending,15,"[7.778862, 44.188496, 11.354915, 46.084263]",4,4,3,2,11
