canonical_scene_id,platform,polarization,calibration_xml_href,xml_fetch_attempts,raster_metadata_attempts,xml_bytes_n,calibration_vectors_n,first_vector_line,last_vector_line,min_pixel_lut_points_n,max_pixel_lut_points_n,absolute_calibration_constant,gcp_count,gcp_crs,sample_rows_n,sample_image_row_min,sample_image_row_max,sample_image_col_min,sample_image_col_max,row_outside_lut_support_n,range_outside_lut_support_n,sigma_lut_min,sigma_lut_max,sigma0_finite_n,status
S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150713t053521-20150713t053546-006788-0091ff-002-cog.xml,1,1,1007003,27,0,17383,642,642,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1516,0,2229,2564,14420,0,0,592.8679500000001,649.4652,1516,PASS
S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150713t053521-20150713t053546-006788-0091ff-001-cog.xml,1,1,1007003,27,0,17383,642,642,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1516,0,2229,2564,14420,0,0,592.8679500000001,649.4652,1516,PASS
S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/26/S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150826t171429-20150826t171454-007437-00a3e8-002-cog.xml,1,1,1007003,27,0,17385,642,642,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7906,14803,1101,12547,0,0,599.6007525,658.21609,4331,PASS
S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/26/S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150826t171429-20150826t171454-007437-00a3e8-001-cog.xml,1,1,1007003,27,0,17385,642,642,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7906,14803,1101,12547,0,0,599.6007525,658.21609,4331,PASS
S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/30/S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150830t053518-20150830t053543-007488-00a55c-002-cog.xml,1,1,999173,27,0,17374,637,637,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,32,5912,2396,14251,0,0,592.9738575,649.6368600000001,4331,PASS
S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/30/S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150830t053518-20150830t053543-007488-00a55c-001-cog.xml,1,1,999173,27,0,17374,637,637,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,32,5912,2396,14251,0,0,592.9738575,649.6368600000001,4331,PASS
S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/05/17/S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20250517t171511-20250517t171536-059237-0759ce-002-cog.xml,1,1,1038325,27,0,17338,662,662,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,5972,12850,1067,12551,0,0,599.3094150000001,655.8277674999999,4331,PASS
S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/05/17/S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20250517t171511-20250517t171536-059237-0759ce-001-cog.xml,1,1,1038325,27,0,17338,662,662,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,5972,12850,1067,12551,0,0,599.3094150000001,655.8277674999999,4331,PASS
S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/07/16/S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20250716t171508-20250716t171533-060112-077801-002-cog.xml,1,1,1032061,27,0,17346,658,658,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,5973,12855,1064,12547,0,0,599.3200225,655.83916,4331,PASS
S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/07/16/S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20250716t171508-20250716t171533-060112-077801-001-cog.xml,1,1,1032061,27,0,17346,658,658,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,5973,12855,1064,12547,0,0,599.3200225,655.83916,4331,PASS
