year,scenes_n,acquisition_dates_n,rice_season_scenes_n,rice_season_acquisition_dates_n,rice_season_months_with_any_acquisition_n,rice_season_months,rice_season_first_date,rice_season_last_date,rice_season_median_gap_days,rice_season_p90_gap_days,rice_season_max_gap_days,rice_season_all_apr_sep_months_present
2015,150,116,70,53,6,4_5_6_7_8_9,2015-04-01,2015-09-30,4.0,6.0,12,True
2016,236,133,98,57,6,4_5_6_7_8_9,2016-04-02,2016-09-30,2.5,6.0,19,True
2017,423,199,213,100,6,4_5_6_7_8_9,2017-04-03,2017-09-30,1.0,4.0,5,True
2018,615,212,279,104,6,4_5_6_7_8_9,2018-04-03,2018-09-30,1.0,4.0,5,True
2019,875,205,449,102,6,4_5_6_7_8_9,2019-04-01,2019-09-28,1.0,4.0,5,True
2020,869,209,432,104,6,4_5_6_7_8_9,2020-04-01,2020-09-28,1.0,4.0,5,True
2021,510,210,226,105,6,4_5_6_7_8_9,2021-04-01,2021-09-29,1.0,4.0,5,True
2022,218,119,104,60,6,4_5_6_7_8_9,2022-04-02,2022-09-30,4.0,6.0,7,True
2023,214,122,110,62,6,4_5_6_7_8_9,2023-04-02,2023-09-30,1.0,6.0,6,True
