path,suffix,rows_n,columns_n,date_col,orbit_state_col,relative_orbit_col,id_col,platform_col,structural_score,read_status,notes,rows_sort
outputs\diagnostics\design_c\c2l_canonical_vvvh_asset_plan.csv,.csv,272.0,11.0,,,,scene_id,,1,PASS,,272.0
outputs\diagnostics\design_c\c2k_validation_asset_inventory.csv,.csv,220.0,8.0,,,,scene_id,,1,PASS,,220.0
outputs\diagnostics\design_c\c2m_raster_asset_technical_qa.csv,.csv,68.0,35.0,,,,canonical_scene_id,platform,1,PASS,,68.0
outputs\diagnostics\design_c\c2n_calibration_xml_qa.csv,.csv,66.0,18.0,,,,canonical_scene_id,platform,1,PASS,,66.0
outputs\diagnostics\design_c\c2nr_calibration_xml_qa.csv,.csv,66.0,26.0,,,,canonical_scene_id,platform,1,PASS,,66.0
outputs\diagnostics\design_c\c2o_noise_xml_qa.csv,.csv,66.0,19.0,,,,canonical_scene_id,platform,1,PASS,,66.0
outputs\diagnostics\design_c\c2or_noise_xml_qa.csv,.csv,66.0,23.0,,,,canonical_scene_id,platform,1,PASS,,66.0
outputs\diagnostics\design_c\c2pb_scl_asset_technical_qa.csv,.csv,46.0,23.0,,,,item_id,platform,1,PASS,,46.0
outputs\diagnostics\design_c\c2a_riru_layer_inventory.csv,.csv,19.0,5.0,,,,name,,1,PASS,,19.0
outputs\diagnostics\design_c\c2b_comprensori_attributes.csv,.csv,5.0,6.0,,,,ID,,1,PASS,,5.0
outputs\diagnostics\design_c\c2mr_recovered_asset_technical_qa.csv,.csv,3.0,34.0,,,,canonical_scene_id,platform,1,PASS,,3.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2010.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2011.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2012.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2013.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2014.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2015.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2016.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2017.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2018.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2019.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2020.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2021.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2022.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2023.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2024.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2025.csv,.csv,259860.0,36.0,,,,,,0,PASS,,259860.0
data\processed\post2021\historical_bridge_predictions_2017_2021.csv,.csv,107712.0,18.0,,,,,,0,PASS,,107712.0
data\processed\publication_groundwater\ricefloodit_georef.csv,.csv,80926.0,11.0,,,,,,0,PASS,,80926.0
data\processed\post2021\frozen_ff_anomaly_panel_2010_2025.csv,.csv,69296.0,12.0,,,,,,0,PASS,,69296.0
outputs\diagnostics\design_c\c2pb_scl_point_samples.csv,.csv,60634.0,17.0,,,,,,0,PASS,,60634.0
outputs\diagnostics\design_c\c2pc2_sentinel2_boa_point_samples.csv,.csv,60634.0,47.0,,,,,,0,PASS,,60634.0
outputs\diagnostics\design_c\c2pc_sentinel2_boa_point_samples.csv,.csv,60634.0,45.0,,,,,,0,PASS,,60634.0
outputs\diagnostics\design_c\c2qr_s1_s2_point_matched.csv,.csv,60634.0,59.0,,,,,,0,PASS,,60634.0
outputs\diagnostics\design_c\c2r_observed_ff_cross_sensor_joined.csv,.csv,34648.0,67.0,,,,,,0,PASS,,34648.0
data\processed\post2021\bounded_bridge_predictions_2014_2021.csv,.csv,29025.0,14.0,,,,,,0,PASS,,29025.0
data\processed\post2021\frozen_ff_anomalies_2022_2025.csv,.csv,17324.0,12.0,,,,,,0,PASS,,17324.0
data\processed\post2021\ricefloodit_compatible_ff_2022_2025.csv,.csv,17324.0,14.0,,,,,,0,PASS,,17324.0
data\processed\post2021\extended_bridge_predictions_2010_2013.csv,.csv,14986.0,12.0,,,,,,0,PASS,,14986.0
data\processed\post2021\frozen_ff_baseline_2010_2021.csv,.csv,4331.0,4.0,,,,,,0,PASS,,4331.0
outputs\diagnostics\design_c\c2qr_support_coordinate_crosswalk.csv,.csv,4331.0,7.0,,,,,,0,PASS,,4331.0
data\processed\post2021\weather_sensor_monthly_2008_2025.csv,.csv,2896.0,8.0,,,,,,0,PASS,,2896.0
outputs\diagnostics\design_c\c2b_rete_sibiter_attributes.csv,.csv,2871.0,8.0,,,,,,0,PASS,,2871.0
data\processed\post2021\weather_sensor_monthly_2008_2023.csv,.csv,2536.0,8.0,,,,,,0,PASS,,2536.0
outputs\diagnostics\design_c\c2a_public_irrigation_evidence_hits.csv,.csv,2306.0,4.0,,,,,,0,PASS,,2306.0
data\processed\publication_groundwater\weather_sensor_monthly.csv,.csv,2176.0,8.0,,,,,,0,PASS,,2176.0
outputs\diagnostics\design_c\c2a_priority_irrigation_evidence.csv,.csv,1859.0,4.0,,,,,,0,PASS,,1859.0
outputs\diagnostics\design_c\c2b_est_sesia_matched_detailed_tratti.csv,.csv,1681.0,10.0,,,,,,0,PASS,,1681.0
data\design_c\raw\sidro\AnagraficaSensoriWEB.csv,.csv,1429.0,1.0,,,,,,0,PASS,,1429.0
outputs\diagnostics\design_c\c1_public_sidro_registry_normalized.csv,.csv,1429.0,16.0,,,,,,0,PASS,,1429.0
data\processed\post2021\groundwater_annual_measures_2008_2025.csv,.csv,666.0,43.0,,,,,,0,PASS,,666.0
data\processed\post2021\groundwater_annual_measures_2008_2024.csv,.csv,629.0,43.0,,,,,,0,PASS,,629.0
outputs\diagnostics\design_c\c2b_fontanili_attributes.csv,.csv,604.0,26.0,,,,,,0,PASS,,604.0
data\processed\post2021\groundwater_annual_measures_2008_2023.csv,.csv,592.0,43.0,,,,,,0,PASS,,592.0
data\processed\publication_groundwater\discovery_panel_2008_2021.csv,.csv,518.0,135.0,,,,,,0,PASS,,518.0
data\processed\publication_groundwater\groundwater_annual_measures.csv,.csv,518.0,43.0,,,,,,0,PASS,,518.0
data\processed\publication_groundwater\well_ricefloodit_exposures.csv,.csv,518.0,26.0,,,,,,0,PASS,,518.0
outputs\diagnostics\design_c\c2a_candidate_public_endpoints.csv,.csv,397.0,4.0,,,,,,0,PASS,,397.0
