orbit_state,relative_orbit,point_id,lon,lat,track_dates_n,dates_point_covered_n,point_date_coverage_share
ascending,15,ricept_0,8.275668374666411,45.38333171029585,245,245,1.0
ascending,15,ricept_1,8.287533132192817,45.38333171029585,245,245,1.0
ascending,15,ricept_2,8.29939788971922,45.38333171029585,245,245,1.0
ascending,15,ricept_3,8.311262647245623,45.38333171029585,245,245,1.0
ascending,15,ricept_4,8.323127404772027,45.38333171029585,245,245,1.0
ascending,15,ricept_5,8.27688850367533,45.39166504333116,245,245,1.0
ascending,15,ricept_6,8.288755010490638,45.39166504333116,245,245,1.0
ascending,15,ricept_7,8.300621517305942,45.39166504333116,245,245,1.0
ascending,15,ricept_8,8.312488024121247,45.39166504333116,245,245,1.0
ascending,15,ricept_9,8.324354530936551,45.39166504333116,245,245,1.0
ascending,15,ricept_10,8.348087544567163,45.39166504333116,245,245,1.0
ascending,15,ricept_11,8.359954051382468,45.39166504333116,245,245,1.0
ascending,15,ricept_12,8.371820558197772,45.39166504333116,245,245,1.0
ascending,15,ricept_13,8.383687065013078,45.39166504333116,245,245,1.0
ascending,15,ricept_14,8.206899626432115,45.39999837636647,245,245,1.0
ascending,15,ricept_15,8.218767883303311,45.39999837636647,245,245,1.0
ascending,15,ricept_16,8.278109167659292,45.39999837636647,245,245,1.0
ascending,15,ricept_17,8.28997742453049,45.39999837636647,245,245,1.0
ascending,15,ricept_18,8.301845681401685,45.39999837636647,245,245,1.0
ascending,15,ricept_19,8.313713938272882,45.39999837636647,245,245,1.0
ascending,15,ricept_20,8.325582195144076,45.39999837636647,245,245,1.0
ascending,15,ricept_21,8.337450452015272,45.39999837636647,245,245,1.0
ascending,15,ricept_22,8.349318708886468,45.39999837636647,245,245,1.0
ascending,15,ricept_23,8.361186965757666,45.39999837636647,245,245,1.0
ascending,15,ricept_24,8.37305522262886,45.39999837636647,245,245,1.0
ascending,15,ricept_25,8.384923479500058,45.39999837636647,245,245,1.0
ascending,15,ricept_26,8.184370305350761,45.40833170940178,245,245,1.0
ascending,15,ricept_27,8.19624031304525,45.40833170940178,245,245,1.0
ascending,15,ricept_28,8.21998032843423,45.40833170940178,245,245,1.0
ascending,15,ricept_29,8.231850336128721,45.40833170940178,245,245,1.0
ascending,15,ricept_30,8.267460359212189,45.40833170940178,245,245,1.0
ascending,15,ricept_31,8.279330366906677,45.40833170940178,245,245,1.0
ascending,15,ricept_32,8.29120037460117,45.40833170940178,245,245,1.0
ascending,15,ricept_33,8.303070382295658,45.40833170940178,245,245,1.0
ascending,15,ricept_34,8.314940389990149,45.40833170940178,245,245,1.0
ascending,15,ricept_35,8.326810397684639,45.40833170940178,245,245,1.0
ascending,15,ricept_36,8.338680405379128,45.40833170940178,245,245,1.0
ascending,15,ricept_37,8.350550413073618,45.40833170940178,245,245,1.0
ascending,15,ricept_38,8.362420420768109,45.40833170940178,245,245,1.0
ascending,15,ricept_39,8.374290428462599,45.40833170940178,245,245,1.0
ascending,15,ricept_40,8.386160436157088,45.40833170940178,245,245,1.0
ascending,15,ricept_41,8.17370626813569,45.41666504243708,245,245,1.0
ascending,15,ricept_42,8.18557802742129,45.41666504243708,245,245,1.0
ascending,15,ricept_43,8.19744978670689,45.41666504243708,245,245,1.0
ascending,15,ricept_44,8.20932154599249,45.41666504243708,245,245,1.0
ascending,15,ricept_45,8.22119330527809,45.41666504243708,245,245,1.0
ascending,15,ricept_46,8.233065064563691,45.41666504243708,245,245,1.0
ascending,15,ricept_47,8.26868034242049,45.41666504243708,245,245,1.0
ascending,15,ricept_48,8.280552101706089,45.41666504243708,245,245,1.0
ascending,15,ricept_49,8.292423860991692,45.41666504243708,245,245,1.0
ascending,15,ricept_50,8.30429562027729,45.41666504243708,245,245,1.0
ascending,15,ricept_51,8.316167379562893,45.41666504243708,245,245,1.0
ascending,15,ricept_52,8.328039138848492,45.41666504243708,245,245,1.0
ascending,15,ricept_53,8.339910898134091,45.41666504243708,245,245,1.0
ascending,15,ricept_54,8.35178265741969,45.41666504243708,245,245,1.0
ascending,15,ricept_55,8.363654416705293,45.41666504243708,245,245,1.0
ascending,15,ricept_56,8.375526175990892,45.41666504243708,245,245,1.0
ascending,15,ricept_57,8.163039255896944,45.4249983754724,245,245,1.0
ascending,15,ricept_58,8.174912767541883,45.4249983754724,245,245,1.0
ascending,15,ricept_59,8.186786279186824,45.4249983754724,245,245,1.0
ascending,15,ricept_60,8.210533302476707,45.4249983754724,245,245,1.0
ascending,15,ricept_61,8.222406814121648,45.4249983754724,245,245,1.0
ascending,15,ricept_62,8.234280325766589,45.4249983754724,245,245,1.0
ascending,15,ricept_63,8.24615383741153,45.4249983754724,245,245,1.0
ascending,15,ricept_64,8.26990086070141,45.4249983754724,245,245,1.0
ascending,15,ricept_65,8.281774372346351,45.4249983754724,245,245,1.0
ascending,15,ricept_66,8.293647883991294,45.4249983754724,245,245,1.0
ascending,15,ricept_67,8.305521395636235,45.4249983754724,245,245,1.0
ascending,15,ricept_68,8.317394907281175,45.4249983754724,245,245,1.0
ascending,15,ricept_69,8.329268418926118,45.4249983754724,245,245,1.0
ascending,15,ricept_70,8.341141930571057,45.4249983754724,245,245,1.0
ascending,15,ricept_71,8.353015442215998,45.4249983754724,245,245,1.0
ascending,15,ricept_72,8.36488895386094,45.4249983754724,245,245,1.0
ascending,15,ricept_73,8.37676246550588,45.4249983754724,245,245,1.0
ascending,15,ricept_74,8.152369266614304,45.43333170850771,245,245,1.0
ascending,15,ricept_75,8.164244531387233,45.43333170850771,245,245,1.0
ascending,15,ricept_76,8.17611979616016,45.43333170850771,245,245,1.0
ascending,15,ricept_77,8.187995060933085,45.43333170850771,245,245,1.0
ascending,15,ricept_78,8.199870325706012,45.43333170850771,245,245,1.0
ascending,15,ricept_79,8.21174559047894,45.43333170850771,245,245,1.0
ascending,15,ricept_80,8.235496120024795,45.43333170850771,245,245,1.0
ascending,15,ricept_81,8.24737138479772,45.43333170850771,245,245,1.0
ascending,15,ricept_82,8.259246649570647,45.43333170850771,245,245,1.0
ascending,15,ricept_83,8.271121914343574,45.43333170850771,245,245,1.0
ascending,15,ricept_84,8.282997179116501,45.43333170850771,245,245,1.0
ascending,15,ricept_85,8.294872443889428,45.43333170850771,245,245,1.0
ascending,15,ricept_86,8.306747708662355,45.43333170850771,245,245,1.0
ascending,15,ricept_87,8.318622973435282,45.43333170850771,245,245,1.0
ascending,15,ricept_88,8.33049823820821,45.43333170850771,245,245,1.0
ascending,15,ricept_89,8.342373502981134,45.43333170850771,245,245,1.0
ascending,15,ricept_90,8.354248767754061,45.43333170850771,245,245,1.0
ascending,15,ricept_91,8.36612403252699,45.43333170850771,245,245,1.0
ascending,15,ricept_92,8.377999297299915,45.43333170850771,245,245,1.0
ascending,15,ricept_93,8.141696298266128,45.44166504154302,245,245,1.0
ascending,15,ricept_94,8.1535733169361,45.44166504154302,245,245,1.0
ascending,15,ricept_95,8.165450335606073,45.44166504154302,245,245,1.0
ascending,15,ricept_96,8.177327354276047,45.44166504154302,245,245,1.0
ascending,15,ricept_97,8.189204372946017,45.44166504154302,245,245,1.0
ascending,15,ricept_98,8.20108139161599,45.44166504154302,245,245,1.0
ascending,15,ricept_99,8.212958410285964,45.44166504154302,245,245,1.0
ascending,15,ricept_100,8.224835428955936,45.44166504154302,245,245,1.0
ascending,15,ricept_101,8.236712447625909,45.44166504154302,245,245,1.0
ascending,15,ricept_102,8.248589466295881,45.44166504154302,245,245,1.0
ascending,15,ricept_103,8.260466484965852,45.44166504154302,245,245,1.0
ascending,15,ricept_104,8.284220522305798,45.44166504154302,245,245,1.0
ascending,15,ricept_105,8.29609754097577,45.44166504154302,245,245,1.0
ascending,15,ricept_106,8.307974559645743,45.44166504154302,245,245,1.0
ascending,15,ricept_107,8.319851578315715,45.44166504154302,245,245,1.0
ascending,15,ricept_108,8.33172859698569,45.44166504154302,245,245,1.0
ascending,15,ricept_109,8.34360561565566,45.44166504154302,245,245,1.0
ascending,15,ricept_110,8.355482634325632,45.44166504154302,245,245,1.0
ascending,15,ricept_111,8.367359652995606,45.44166504154302,245,245,1.0
ascending,15,ricept_112,8.379236671665577,45.44166504154302,245,245,1.0
ascending,15,ricept_113,8.142899122165808,45.44999837457832,245,245,1.0
ascending,15,ricept_114,8.154777895502301,45.44999837457832,245,245,1.0
ascending,15,ricept_115,8.166656668838796,45.44999837457832,245,245,1.0
ascending,15,ricept_116,8.178535442175287,45.44999837457832,245,245,1.0
ascending,15,ricept_117,8.19041421551178,45.44999837457832,245,245,1.0
ascending,15,ricept_118,8.20229298884827,45.44999837457832,245,245,1.0
ascending,15,ricept_119,8.214171762184764,45.44999837457832,245,245,1.0
ascending,15,ricept_120,8.226050535521258,45.44999837457832,245,245,1.0
ascending,15,ricept_121,8.237929308857751,45.44999837457832,245,245,1.0
ascending,15,ricept_122,8.249808082194244,45.44999837457832,245,245,1.0
ascending,15,ricept_123,8.261686855530735,45.44999837457832,245,245,1.0
ascending,15,ricept_124,8.273565628867228,45.44999837457832,245,245,1.0
ascending,15,ricept_125,8.285444402203721,45.44999837457832,245,245,1.0
ascending,15,ricept_126,8.297323175540216,45.44999837457832,245,245,1.0
ascending,15,ricept_127,8.309201948876709,45.44999837457832,245,245,1.0
ascending,15,ricept_128,8.321080722213201,45.44999837457832,245,245,1.0
ascending,15,ricept_129,8.332959495549694,45.44999837457832,245,245,1.0
ascending,15,ricept_130,8.344838268886186,45.44999837457832,245,245,1.0
ascending,15,ricept_131,8.356717042222678,45.44999837457832,245,245,1.0
ascending,15,ricept_132,8.368595815559173,45.44999837457832,245,245,1.0
ascending,15,ricept_133,8.380474588895666,45.44999837457832,245,245,1.0
ascending,15,ricept_134,8.14410247382514,45.45833170761364,245,245,1.0
ascending,15,ricept_135,8.155983002598042,45.45833170761364,245,245,1.0
ascending,15,ricept_136,8.167863531370946,45.45833170761364,245,245,1.0
ascending,15,ricept_137,8.17974406014385,45.45833170761364,245,245,1.0
ascending,15,ricept_138,8.191624588916751,45.45833170761364,245,245,1.0
ascending,15,ricept_139,8.203505117689655,45.45833170761364,245,245,1.0
ascending,15,ricept_140,8.215385646462558,45.45833170761364,245,245,1.0
ascending,15,ricept_141,8.227266175235462,45.45833170761364,245,245,1.0
ascending,15,ricept_142,8.239146704008366,45.45833170761364,245,245,1.0
ascending,15,ricept_143,8.251027232781269,45.45833170761364,245,245,1.0
ascending,15,ricept_144,8.274788290327074,45.45833170761364,245,245,1.0
ascending,15,ricept_145,8.298549347872882,45.45833170761364,245,245,1.0
ascending,15,ricept_146,8.310429876645784,45.45833170761364,245,245,1.0
ascending,15,ricept_147,8.322310405418687,45.45833170761364,245,245,1.0
ascending,15,ricept_148,8.334190934191591,45.45833170761364,245,245,1.0
ascending,15,ricept_149,8.346071462964492,45.45833170761364,245,245,1.0
ascending,15,ricept_150,8.357951991737396,45.45833170761364,245,245,1.0
ascending,15,ricept_151,8.3698325205103,45.45833170761364,245,245,1.0
ascending,15,ricept_152,8.381713049283203,45.45833170761364,245,245,1.0
