sensor_variable,eligible_targets_n,positive_targets_n,negative_targets_n,majority_sign,sign_agreement_share,median_rho,median_absolute_rho,min_rho,max_rho,single_snapshot_stability_screen_pass
VV_db,7,1,6,negative,0.8571428571428571,-0.114468175403839,0.114468175403839,-0.2507461264644153,0.0875647067185334,False
VH_db,7,0,7,negative,1.0,-0.056406455464924,0.056406455464924,-0.3306005554581069,-0.0063718170066677,False
VV_minus_VH_db,7,4,3,positive,0.5714285714285714,0.0655689117759002,0.0802299907822485,-0.0824841282573222,0.154176179673884,False
NDVI,7,4,3,positive,0.5714285714285714,0.0436533711124218,0.1770343545907508,-0.4008938028384581,0.1822545192251432,False
NDWI,7,3,4,negative,0.5714285714285714,-0.0031929791018153,0.1304247799468534,-0.1304247799468534,0.4385661495535766,False
MNDWI,7,6,1,positive,0.8571428571428571,0.3333951335273264,0.3333951335273264,-0.038876747343484,0.5031013932592261,True
LSWI,7,7,0,positive,1.0,0.1639865408416833,0.1639865408416833,0.0489507032309981,0.3734598691459911,False
