coord_key,s1_point_index,point_id,lon,lat,support_id,numeric_id_equal
8.754266461|45.02499839,1904,ricept_1904,8.7542664606647,45.02499838977754,0,False
8.766056719|45.02499839,1905,ricept_1905,8.766056718524183,45.02499838977754,1,False
8.777846976|45.02499839,1906,ricept_1906,8.777846976383664,45.02499838977754,2,False
8.672997285|45.033331723,1907,ricept_1907,8.672997284875432,45.03333172281285,3,False
8.684789259|45.033331723,1908,ricept_1908,8.684789259429989,45.03333172281285,4,False
8.720165183|45.033331723,1909,ricept_1909,8.720165183093652,45.03333172281285,5,False
8.731957158|45.033331723,1910,ricept_1910,8.731957157648209,45.03333172281285,6,False
8.743749132|45.033331723,1911,ricept_1911,8.743749132202765,45.03333172281285,7,False
8.755541107|45.033331723,1912,ricept_1912,8.75554110675732,45.03333172281285,8,False
8.767333081|45.033331723,1913,ricept_1913,8.767333081311875,45.03333172281285,9,False
8.779125056|45.033331723,1914,ricept_1914,8.77912505586643,45.03333172281285,10,False
8.79091703|45.033331723,1915,ricept_1915,8.790917030420985,45.03333172281285,11,False
8.650673081|45.041665056,1916,ricept_1916,8.650673081364525,45.04166505584815,12,False
8.662466773|45.041665056,1917,ricept_1917,8.66246677336366,45.04166505584815,13,False
8.674260465|45.041665056,1918,ricept_1918,8.674260465362792,45.04166505584815,14,False
8.686054157|45.041665056,1919,ricept_1919,8.686054157361927,45.04166505584815,15,False
8.697847849|45.041665056,1920,ricept_1920,8.697847849361061,45.04166505584815,16,False
8.709641541|45.041665056,1921,ricept_1921,8.709641541360192,45.04166505584815,17,False
8.721435233|45.041665056,1922,ricept_1922,8.721435233359326,45.04166505584815,18,False
8.733228925|45.041665056,1923,ricept_1923,8.73322892535846,45.04166505584815,19,False
8.745022617|45.041665056,1924,ricept_1924,8.745022617357595,45.04166505584815,20,False
8.756816309|45.041665056,1925,ricept_1925,8.75681630935673,45.04166505584815,21,False
8.768610001|45.041665056,1926,ricept_1926,8.768610001355862,45.04166505584815,22,False
8.780403693|45.041665056,1927,ricept_1927,8.780403693354994,45.04166505584815,23,False
8.792197385|45.041665056,5575,ricept_5575,8.792197385354129,45.04166505584815,24,False
8.803991077|45.041665056,1928,ricept_1928,8.803991077353261,45.04166505584815,25,False
8.510388455|45.049998389,35005,ricept_35005,8.51038845469414,45.049998388883466,26,False
8.522183865|45.049998389,5423,ricept_5423,8.522183864887756,45.049998388883466,27,False
8.533979275|45.049998389,5424,ricept_5424,8.533979275081373,45.049998388883466,28,False
8.545774685|45.049998389,1801,ricept_1801,8.54577468527499,45.049998388883466,29,False
8.557570095|45.049998389,35009,ricept_35009,8.557570095468606,45.049998388883466,30,False
8.569365506|45.049998389,5426,ricept_5426,8.569365505662223,45.049998388883466,31,False
8.651933377|45.049998389,1929,ricept_1929,8.651933377017535,45.049998388883466,32,False
8.663728787|45.049998389,1930,ricept_1930,8.663728787211152,45.049998388883466,33,False
8.675524197|45.049998389,1931,ricept_1931,8.67552419740477,45.049998388883466,34,False
8.687319608|45.049998389,5580,ricept_5580,8.687319607598385,45.049998388883466,35,False
8.699115018|45.049998389,1932,ricept_1932,8.699115017792003,45.049998388883466,36,False
8.710910428|45.049998389,1933,ricept_1933,8.710910427985617,45.049998388883466,37,False
8.722705838|45.049998389,1934,ricept_1934,8.722705838179234,45.049998388883466,38,False
8.734501248|45.049998389,1935,ricept_1935,8.73450124837285,45.049998388883466,39,False
8.746296659|45.049998389,1936,ricept_1936,8.746296658566466,45.049998388883466,40,False
8.758092069|45.049998389,1937,ricept_1937,8.758092068760083,45.049998388883466,41,False
