season_phase,targets_n,years_n,joint_base_valid_share_median_across_targets,VV_db_target_median_of_medians,VV_db_target_median_min,VV_db_target_median_max,VH_db_target_median_of_medians,VH_db_target_median_min,VH_db_target_median_max,VV_minus_VH_db_target_median_of_medians,VV_minus_VH_db_target_median_min,VV_minus_VH_db_target_median_max,NDVI_target_median_of_medians,NDVI_target_median_min,NDVI_target_median_max,NDWI_target_median_of_medians,NDWI_target_median_min,NDWI_target_median_max,MNDWI_target_median_of_medians,MNDWI_target_median_min,MNDWI_target_median_max,LSWI_target_median_of_medians,LSWI_target_median_min,LSWI_target_median_max
establishment,4,2,0.4253059339644424,-10.016751903105138,-11.80628970009038,-8.779334878162555,-19.24201497086524,-20.72996909163388,-17.568476851817785,8.731462744630813,8.657459871126724,9.32887747810517,0.26076985835565947,0.2252202961751958,0.34725781615388607,-0.2882486953569833,-0.3693402777777778,-0.2768290010829426,-0.3334837724832892,-0.3574315222272115,-0.23959744874913605,0.018816543639618676,-0.03843648192725365,0.154688110453759
late_season,6,3,0.409374278457631,-10.207827986557028,-10.635087501230903,-9.530672669269741,-15.946263769261824,-16.411361321475823,-15.275732521288772,5.850483264841119,5.7873753061760205,6.141512395220317,0.7573378814217692,0.7338840007182619,0.8034378404594111,-0.6741176933686392,-0.6975941353355486,-0.6354764638346727,-0.3726454610042748,-0.4133025759323336,-0.3268048626126261,0.4044786421791168,0.3832522585128561,0.418405304868187
mid_season,4,2,0.4047564072962364,-10.18970455319868,-10.312605527313766,-9.873399287649619,-17.602726592777554,-18.0632192077945,-17.388797652549734,7.301840170527333,7.148676611958433,8.011920250107035,0.813092330026347,0.795685398894945,0.8500737849743695,-0.6888315647730798,-0.7160520144958431,-0.6701527000754226,-0.4299276089007785,-0.44364577508208947,-0.3947853952223733,0.39697529369991286,0.3732817869415807,0.43337421154866607
