scene_id,resolve_status,resolve_source,remote_attempts,platform,datetime,end_datetime,instrument_mode,polarizations,orbit_state,relative_orbit,absolute_orbit,product_type,processing_level,bbox,asset_count,stac_item_url
S1A_IW_GRDH_1SDV_20150427T052706_20150427T052731_005665_007448_072D_COG,OK,CACHE,0,sentinel-1a,2015-04-27T05:27:06.095921Z,2015-04-27T05:27:31.095271Z,IW,VV|VH,descending,168,5665,,L1,"[8.312284, 43.468094, 11.889681, 45.366245]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150427T052706_20150427T052731_005665_007448_072D_COG
S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG,OK,CACHE,0,sentinel-1a,2015-04-28T17:14:38.955298Z,2015-04-28T17:15:10.506845Z,IW,VV|VH,ascending,15,5687,,L1,"[7.379722, 45.085686, 11.157321, 47.377041]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG
S1A_IW_GRDH_1SDV_20150502T053449_20150502T053518_005738_0075E4_6258_COG,OK,CACHE,0,sentinel-1a,2015-05-02T05:34:49.437232Z,2015-05-02T05:35:18.353295Z,IW,VV|VH,descending,66,5738,,L1,"[6.641566, 45.078548, 10.303509, 47.212486]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150502T053449_20150502T053518_005738_0075E4_6258_COG
S1A_IW_GRDH_1SDV_20150502T053518_20150502T053543_005738_0075E4_5FF8_COG,OK,CACHE,0,sentinel-1a,2015-05-02T05:35:18.354791Z,2015-05-02T05:35:43.353455Z,IW,VV|VH,descending,66,5738,,L1,"[6.313295, 43.579407, 9.860241, 45.474388]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150502T053518_20150502T053543_005738_0075E4_5FF8_COG
S1A_IW_GRDH_1SDV_20150509T052653_20150509T052718_005840_007841_A5F8_COG,OK,CACHE,0,sentinel-1a,2015-05-09T05:26:53.108245Z,2015-05-09T05:27:18.106872Z,IW,VV|VH,descending,168,5840,,L1,"[8.475952, 44.285446, 12.101841, 46.184986]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150509T052653_20150509T052718_005840_007841_A5F8_COG
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,OK,CACHE,0,sentinel-1a,2015-05-14T05:34:49.450442Z,2015-05-14T05:35:18.352281Z,IW,VV|VH,descending,66,5913,,L1,"[6.638903, 45.074821, 10.337654, 47.211933]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,OK,CACHE,0,sentinel-1a,2015-05-14T05:35:18.353775Z,2015-05-14T05:35:43.352342Z,IW,VV|VH,descending,66,5913,,L1,"[6.310565, 43.575729, 9.890305, 45.475071]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG
S1A_IW_GRDH_1SDV_20150515T172239_20150515T172304_005935_007A51_F1D6_COG,OK,CACHE,0,sentinel-1a,2015-05-15T17:22:39.122452Z,2015-05-15T17:23:04.121368Z,IW,VV|VH,ascending,88,5935,,L1,"[5.714616, 44.24662, 9.358736, 46.14497]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150515T172239_20150515T172304_005935_007A51_F1D6_COG
S1A_IW_GRDH_1SDV_20150521T052640_20150521T052709_006015_007C1A_4BDE_COG,OK,CACHE,0,sentinel-1a,2015-05-21T05:26:40.276274Z,2015-05-21T05:27:09.178709Z,IW,VV|VH,descending,168,6015,,L1,"[8.644677, 44.850018, 12.337975, 46.986782]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150521T052640_20150521T052709_006015_007C1A_4BDE_COG
S1A_IW_GRDH_1SDV_20150521T052709_20150521T052734_006015_007C1A_DA90_COG,OK,CACHE,0,sentinel-1a,2015-05-21T05:27:09.180202Z,2015-05-21T05:27:34.178194Z,IW,VV|VH,descending,168,6015,,L1,"[8.312232, 43.351528, 11.885357, 45.2505]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150521T052709_20150521T052734_006015_007C1A_DA90_COG
