acquisition_datetime,orbit_state,relative_orbit,scene_id,platform,year,month,day,acquisition_date,temporal_design_included,temporal_design_reason,instrument_mode,polarizations,product_type,measurement_disposition,measurement_reason,support_points_inside_n,support_coverage_fraction
2025-04-21 05:33:43.283753+00:00,descending,66,S1C_EW_GRDM_1SDH_20250421T053343_20250421T053440_001987_003FE5_411A_COG,sentinel-1c,2025,4,21,2025-04-21,True,stable_track_and_apr_sep_and_year_2015_2025,EW,HH|HV,,OUTSIDE_STUDY_SUPPORT,Technical exception with zero fixed RiceFloodIT-support coverage in C2U-S; retain metadata/audit only.,0.0,0.0
2025-04-21 05:33:43.283753+00:00,descending,66,S1C_EW_GRDM_1SDH_20250421T053343_20250421T053440_001987_003FE5_6601_COG,sentinel-1c,2025,4,21,2025-04-21,True,stable_track_and_apr_sep_and_year_2015_2025,EW,HH|HV,,OUTSIDE_STUDY_SUPPORT,Technical exception with zero fixed RiceFloodIT-support coverage in C2U-S; retain metadata/audit only.,0.0,0.0
