IdSensore,Tipologia,IdTipologia,UnitaMisura,DataMinimaRT,DataMinimaPubblicazione,DataMassimaRT,UTM Nord,UTM Est,Quota,idStazione,Nome,Provincia,Comune,_lon_wgs84,_lat_wgs84
4001,Temperatura,3,°C,23/05/2003,,25/08/2020,5014273,499104,100,140,Motta Visconti SMR,MI,Motta Visconti,8.988575477376283,45.28195619871089
4002,Umidità Relativa,11,%,15/05/2003,,25/08/2020,5014273,499104,100,140,Motta Visconti SMR,MI,Motta Visconti,8.988575477376283,45.28195619871089
4004,Radiazione Globale,12,W/m²,28/10/2008,,25/08/2020,5014273,499104,100,140,Motta Visconti SMR,MI,Motta Visconti,8.988575477376283,45.28195619871089
4006,Direzione Vento,10,°,15/05/2003,,25/08/2020,5014273,499104,100,140,Motta Visconti SMR,MI,Motta Visconti,8.988575477376283,45.28195619871089
4008,Precipitazione,2,mm,15/05/2003,,25/08/2020,5014273,499104,100,140,Motta Visconti SMR,MI,Motta Visconti,8.988575477376283,45.28195619871089
4058,Temperatura,3,°C,30/05/2002,,31/08/2026,5043257,516051,142,147,Cinisello Balsamo Parco Nord,MI,Cinisello Balsamo,9.205603412149348,45.5426646784088
4059,Umidità Relativa,11,%,30/05/2002,,31/08/2026,5043257,516051,142,147,Cinisello Balsamo Parco Nord,MI,Cinisello Balsamo,9.205603412149348,45.5426646784088
4060,Radiazione Globale,12,W/m²,30/05/2002,,31/08/2026,5043257,516051,142,147,Cinisello Balsamo Parco Nord,MI,Cinisello Balsamo,9.205603412149348,45.5426646784088
4062,Direzione Vento,10,°,30/05/2002,,31/08/2026,5043257,516051,142,147,Cinisello Balsamo Parco Nord,MI,Cinisello Balsamo,9.205603412149348,45.5426646784088
4065,Precipitazione,2,mm,30/05/2002,,31/08/2026,5043257,516051,142,147,Cinisello Balsamo Parco Nord,MI,Cinisello Balsamo,9.205603412149348,45.5426646784088
4066,Temperatura,3,°C,02/07/2002,,31/08/2026,5043898,488082,182,148,Arconate SMR,MI,Arconate,8.84732192921624,45.548517357426675
4067,Umidità Relativa,11,%,02/07/2002,,31/08/2026,5043898,488082,182,148,Arconate SMR,MI,Arconate,8.84732192921624,45.548517357426675
4069,Radiazione Globale,12,W/m²,02/07/2002,,31/08/2026,5043898,488082,182,148,Arconate SMR,MI,Arconate,8.84732192921624,45.548517357426675
4071,Direzione Vento,10,°,02/07/2002,,31/08/2026,5043898,488082,182,148,Arconate SMR,MI,Arconate,8.84732192921624,45.548517357426675
4112,Precipitazione,2,mm,05/03/2009,,31/08/2026,5043898,488082,182,148,Arconate SMR,MI,Arconate,8.84732192921624,45.548517357426675
5080,Livello Idrometrico,1,cm,24/07/2020,01/01/2025,31/08/2026,4999560,486707,93,1088,Ottobiano via Manzoni,PV,Ottobiano,8.830899841444138,45.14939125558956
5082,Livello Idrometrico,1,cm,24/07/2020,01/01/2025,31/08/2026,5007042,528392,72,1089,Villanterio via Roma,PV,Villanterio,9.36159770987942,45.21629427735381
5856,Precipitazione,2,mm,07/12/1991,,31/08/2026,5053519,543342,190,595,Filago v.Don Milani,BG,Filago,9.556084255790937,45.633864509087935
5858,Precipitazione,2,mm,04/04/2000,,31/08/2026,5052072,547691,182,596,Osio Sotto v.per Levate,BG,Osio Sotto,9.61173782181245,45.62055567940286
5863,Temperatura,3,°C,07/12/1991,,31/08/2026,5053519,543342,190,595,Filago v.Don Milani,BG,Filago,9.556084255790937,45.633864509087935
5865,Temperatura,3,°C,04/04/2000,,31/08/2026,5052072,547691,182,596,Osio Sotto v.per Levate,BG,Osio Sotto,9.61173782181245,45.62055567940286
5872,Precipitazione,2,mm,23/09/1996,,23/07/2016,5059463,514062,256,562,Mariano Comense v.le Lombardia,CO,Mariano Comense,9.18059329494883,45.68857640821252
5873,Temperatura,3,°C,23/09/1996,,23/07/2016,5059463,514062,256,562,Mariano Comense v.le Lombardia,CO,Mariano Comense,9.18059329494883,45.68857640821252
5887,Precipitazione,2,mm,13/01/2000,,15/06/2015,5020175,533400,80,617,Tavazzano con Villavesco Enel suolo,LO,Tavazzano con Villavesco,9.426261573535141,45.334287856991295
5888,Temperatura,3,°C,13/01/2000,,15/06/2015,5020175,533400,80,617,Tavazzano con Villavesco Enel suolo,LO,Tavazzano con Villavesco,9.426261573535141,45.334287856991295
5894,Precipitazione,2,mm,24/03/1992,,06/11/2018,5046977,527628,162,530,Agrate Brianza v.Ferrario,MB,Agrate Brianza,9.354105650819248,45.5757847592353
5895,Temperatura,3,°C,25/03/1992,,06/11/2018,5046977,527628,162,530,Agrate Brianza v.Ferrario,MB,Agrate Brianza,9.354105650819248,45.5757847592353
5897,Temperatura,3,°C,19/03/1990,,01/09/2026,5035365,514782,122,620,Milano v.Brera,MI,Milano,9.189110383708865,45.47165629325016
5900,Precipitazione,2,mm,31/03/1996,,06/09/2018,5057636,518272,250,512,Carate Brianza v.De Gasperi,MB,Carate Brianza,9.234591699392151,45.672033734873644
5901,Temperatura,3,°C,01/04/1996,,26/04/2018,5057636,518272,250,512,Carate Brianza v.De Gasperi,MB,Carate Brianza,9.234591699392151,45.672033734873644
5902,Precipitazione,2,mm,29/03/2002,,31/08/2026,5031403,507619,119,525,Corsico v.le Italia,MI,Corsico,9.097410841871486,45.43610851010621
5903,Temperatura,3,°C,12/02/1997,,31/08/2026,5031403,507619,119,525,Corsico v.le Italia,MI,Corsico,9.097410841871486,45.43610851010621
5908,Precipitazione,2,mm,01/01/1989,,31/08/2026,5035546,517376,122,502,Milano v.Juvara,MI,Milano,9.222302345191181,45.473225733482884
5909,Temperatura,3,°C,01/01/1989,,31/08/2026,5035546,517376,122,502,Milano v.Juvara,MI,Milano,9.222302345191181,45.473225733482884
5910,Temperatura,3,°C,15/09/1998,,31/08/2026,5019010,510543,97,535,Lacchiarella v.Molise,MI,Lacchiarella,9.134530024291461,45.324517397825694
5911,Temperatura,3,°C,01/01/1989,,01/09/2026,5038105,514918,129,501,Milano v.Marche,MI,Milano,9.190933555313649,45.49631644365817
5916,Precipitazione,2,mm,01/01/1999,,31/08/2026,5035511,527630,112,614,Rodano v.Turati,MI,Rodano,9.35348434690243,45.47258006779563
5917,Temperatura,3,°C,01/01/1999,,31/08/2026,5035511,527630,112,614,Rodano v.Turati,MI,Rodano,9.35348434690243,45.47258006779563
5918,Precipitazione,2,mm,21/02/2001,,29/07/2026,5051253,539618,199,513,Trezzo sull'Adda v.Nenni,MI,Trezzo sull'Adda,9.508122483905986,45.61369175878463
5920,Temperatura,3,°C,01/01/1989,,31/08/2026,5035847,511082,122,503,Milano P.zza Zavattari,MI,Milano,9.141786267186678,45.47606340510506
5933,Precipitazione,2,mm,05/12/1998,,31/08/2026,5047718,487687,206,558,Busto Arsizio  Accam,VA,Busto Arsizio,8.842165456706056,45.58289429272496
5934,Precipitazione,2,mm,25/05/1991,,21/10/2018,5050810,488313,222,555,Busto Arsizio v.Magenta,VA,Busto Arsizio,8.850115752092051,45.610736040019866
5935,Temperatura,3,°C,25/05/1991,,10/12/2018,5050810,488313,222,555,Busto Arsizio v.Magenta,VA,Busto Arsizio,8.850115752092051,45.610736040019866
5938,Precipitazione,2,mm,05/12/1996,,10/12/2018,5048975,479783,204,557,Lonate Pozzolo v.Veneto,VA,Lonate Pozzolo,8.740796576539166,45.59402351711583
5939,Temperatura,3,°C,13/12/1996,,19/06/2018,5048975,479783,204,557,Lonate Pozzolo v.Veneto,VA,Lonate Pozzolo,8.740796576539166,45.59402351711583
5940,Precipitazione,2,mm,20/03/2000,,30/10/2020,5055150,477613,210,559,Somma Lombardo v.Facchinetti,VA,Somma Lombardo,8.712691458284754,45.64953712729971
5941,Temperatura,3,°C,20/03/2000,,30/10/2020,5055150,477613,210,559,Somma Lombardo v.Facchinetti,VA,Somma Lombardo,8.712691458284754,45.64953712729971
5979,Direzione Vento,10,°,03/02/2000,,31/08/2026,5053519,543342,190,595,Filago v.Don Milani,BG,Filago,9.556084255790937,45.633864509087935
5983,Direzione Vento,10,°,04/04/2000,,01/09/2026,5052072,547691,182,596,Osio Sotto v.per Levate,BG,Osio Sotto,9.61173782181245,45.62055567940286
6017,Direzione Vento,10,°,13/01/2000,,03/08/2015,5020197,533381,80,635,Tavazzano con Villavesco Enel,LO,Tavazzano con Villavesco,9.426020580921705,45.33448678693725
6026,Direzione Vento,10,°,29/10/1999,,11/08/2016,5046977,527628,162,530,Agrate Brianza v.Ferrario,MB,Agrate Brianza,9.354105650819248,45.5757847592353
6029,Direzione Vento,10,°,18/11/1999,,01/09/2026,5035365,514782,122,620,Milano v.Brera,MI,Milano,9.189110383708865,45.47165629325016
6035,Direzione Vento,10,°,01/01/1999,,23/10/2014,5057636,518272,250,512,Carate Brianza v.De Gasperi,MB,Carate Brianza,9.234591699392151,45.672033734873644
6038,Direzione Vento,10,°,02/11/1999,,31/08/2026,5031403,507619,119,525,Corsico v.le Italia,MI,Corsico,9.097410841871486,45.43610851010621
6044,Direzione Vento,10,°,01/01/1999,,31/08/2026,5035546,517376,122,502,Milano v.Juvara,MI,Milano,9.222302345191181,45.473225733482884
6046,Direzione Vento,10,°,01/01/1999,,19/03/2026,5019010,510543,97,535,Lacchiarella v.Molise,MI,Lacchiarella,9.134530024291461,45.324517397825694
