orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,rice_support_points_n,rice_support_points_covered_n,rice_support_coverage_fraction,rice_support_coverage_pct,all_rice_support_covered,rice_support_ge_99pct_covered,is_primary_track,eligibility_rule
ascending,15,2017-06-04,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-06-10,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-06-16,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-06-22,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-06-28,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-07-04,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-07-10,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-07-16,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-07-22,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-07-28,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-08-03,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-08-09,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-08-15,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-08-21,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-08-27,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-09-02,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-09-08,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-09-14,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-09-20,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2017-09-26,2017,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2018-04-06,2018,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2018-04-12,2018,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2018-04-24,2018,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2018-04-30,2018,2,2,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2018-05-06,2018,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
