anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,points_n,points_with_multi_scene_overlap_n,sigma0_db_n,sigma0_db_min,sigma0_db_p01,sigma0_db_p10,sigma0_db_median,sigma0_db_mean,sigma0_db_p90,sigma0_db_p99,sigma0_db_max,sigma0_db_sd,beta0_db_n,beta0_db_min,beta0_db_p01,beta0_db_p10,beta0_db_median,beta0_db_mean,beta0_db_p90,beta0_db_p99,beta0_db_max,beta0_db_sd,gamma0_db_n,gamma0_db_min,gamma0_db_p01,gamma0_db_p10,gamma0_db_median,gamma0_db_mean,gamma0_db_p90,gamma0_db_p99,gamma0_db_max,gamma0_db_sd
2015,establishment,2015-05-14,descending,66,S1A,VH,4331,0,4331,-31.433691170447702,-27.937225934885625,-24.178294485486926,-19.621226285298697,-19.566245408620144,-14.959870474989138,-10.308428085658761,-0.3933879841632225,3.684431907381231,4331,-29.433167180363206,-25.911341999249583,-21.919894901145497,-17.39196735380396,-17.337718501508014,-12.6877131303172,-8.014051935837307,1.8719796880410682,3.714918075297793,4331,-30.331632618012762,-26.940070801396605,-23.24460906760283,-18.66771634678884,-18.596083292699984,-14.001832424328349,-9.45731761102974,0.5497801109327395,3.6716441405561415
2015,establishment,2015-05-14,descending,66,S1A,VV,4331,0,4331,-26.920042807011665,-22.21969273449107,-17.288866276843017,-11.411663737063682,-11.680613308006224,-6.778795362751158,-1.8133399735842608,10.011419582896186,4.178343411527181,4331,-24.888291550301954,-20.07360967476735,-15.134004985960223,-9.165887949203576,-9.452086400894094,-4.572406206637317,0.4080056586962128,12.582856404536134,4.187677663389934,4331,-25.838388402648526,-21.152729844578193,-16.302967332436236,-10.469446685775132,-10.710451192086067,-5.778791220592485,-0.8177309142563204,10.804601996225793,4.177200512269553
2015,establishment,2015-05-22,ascending,15,S1A,VH,4331,0,4331,-30.203284790601984,-26.450183645468897,-23.05476883638846,-18.446522258959156,-18.45515457712596,-13.926607556002352,-10.525071349530966,6.596263805659945,3.604625094769138,4331,-27.940494814425122,-23.973141739088454,-20.646513303757953,-16.0143415656477,-16.004839151523065,-11.508155931130444,-8.046307304571197,9.282014894543028,3.6081291846253905,4331,-29.2587144997667,-25.662104342460317,-22.216681168834644,-17.573207905583498,-17.600263068973465,-13.063301273124575,-9.66576290843752,7.340894357523276,3.6075523293438794
2015,establishment,2015-05-22,ascending,15,S1A,VV,4331,0,4331,-26.54053706383916,-19.592391333871465,-14.81473245199612,-9.597158793202317,-9.693643211089924,-4.855264161612051,-0.003252939409589914,13.541345928249859,4.051646605527458,4331,-23.973141739088454,-17.124688122644326,-12.37746980675225,-7.1961599243433465,-7.243327785487031,-2.317434332759451,2.3055865257864956,15.76826057933829,4.0755095624494215,4331,-25.74556941098173,-18.738132840122084,-13.959650586140736,-8.723745290125514,-8.83875170293743,-4.030339364267142,0.8050008611715938,14.505720834869242,4.0442276475596275
2015,late_season,2015-08-26,ascending,15,S1A,VH,4331,0,4331,-26.813401243822188,-22.128625282125917,-18.85991184475079,-15.468914526325996,-15.607400019896973,-12.560735923710379,-9.586187460553484,6.51380998879251,2.5796845677440277,4331,-24.26760687550258,-19.71164523291143,-16.490399859100194,-13.009449528186297,-13.156903152437563,-10.051841465236219,-7.001170048693033,9.199803457874744,2.6077042589721042,4331,-26.008815203815626,-21.229947960341807,-17.999458651599834,-14.629292965089654,-14.752595152116148,-11.737238392483993,-8.713318148718487,7.25834209349753,2.5711057324337423
2015,late_season,2015-08-26,ascending,15,S1A,VV,4331,0,4331,-23.541821169799512,-17.06092911113558,-13.586760882640963,-10.037302341258268,-9.9630316890433,-6.40841712488601,-2.248912849932037,13.639035049050435,3.0390623329436743,4331,-21.25988969908699,-14.62591339047833,-11.170140920366416,-7.582263028251079,-7.512534821583888,-3.886714263435601,0.2545748098227329,15.866139148980707,3.053407505530449,4331,-22.801213994750857,-16.190730263008387,-12.713901809189494,-9.166366278765333,-9.108226821262477,-5.551704649727887,-1.4368900293659232,14.603303730451103,3.0366449970724987
2015,late_season,2015-08-30,descending,66,S1A,VH,4331,0,4331,-27.281026397361877,-22.27731902573877,-18.659658354766393,-15.124940339827376,-15.335546174712292,-12.238743577473628,-9.92106896098052,4.013613218850929,2.6070511271486185,4331,-25.216099874065343,-19.890742085969958,-16.36891690485633,-12.847091723742707,-13.086696519434739,-9.993741652368076,-7.626242310249842,6.282324440893761,2.6022887011239773,4331,-26.220522564672372,-21.33568930510599,-17.719294293169003,-14.15854714318133,-14.376601013866063,-11.303035211808854,-8.961480001685475,4.954965084728643,2.614835226126582
2015,late_season,2015-08-30,descending,66,S1A,VV,4331,0,4331,-25.10332590105124,-16.43787422969129,-13.108296719861466,-9.524285031881883,-9.627488243389795,-6.311302264695671,-3.2360305630052517,10.43955583567035,2.789267631961165,4331,-22.634205946476186,-14.239810286570595,-10.844788666077353,-7.238222426098634,-7.378638588112244,-4.060437847137455,-0.892786817147153,12.924681938166307,2.7966950451913073,4331,-24.26345214323146,-15.38781052883034,-12.152898527783574,-8.578109334755133,-8.66854308254357,-5.356881831215709,-2.2985417459271615,11.271911366006426,2.790679625368495
2015,mid_season,2015-07-09,ascending,15,S1A,VH,4331,0,4331,-27.45015127533327,-23.094903188296858,-20.06741201428689,-16.551050254845286,-16.65757782021063,-13.528091867195599,-10.500192174713064,6.281694041577493,2.641753366438347,4331,-25.216099874065343,-20.646513303757953,-17.667733043516623,-14.145907862403,-14.206774363823747,-11.038534014139984,-8.046307304571197,8.967994276011801,2.6575448732336935,4331,-26.489757109555626,-22.21093310717405,-19.193987721698715,-15.706339472810722,-15.802919675386354,-12.68971820488932,-9.655297742070903,7.026100512811856,2.639086711469414
2015,mid_season,2015-07-09,ascending,15,S1A,VV,4331,0,4331,-21.29434692432219,-17.061748404017532,-13.694691904433537,-9.56081179731568,-9.588350137153155,-5.6773239916842595,-1.8901320297883357,13.83994304116886,3.2548571898680527,4331,-18.86769163702233,-14.725181781109331,-11.303772627496722,-7.112641111260621,-7.137546680766272,-3.1716488744822153,0.5775084744363704,16.06729812609056,3.2910457236157247,4331,-20.43412683197095,-16.162714191899013,-12.841340713919475,-8.715122791553375,-8.733691992328879,-4.841535749202154,-1.0503274009285335,14.804071343120004,3.2409275428545605
