orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,invalid_scene_bboxes_n,study_bbox_coverage_fraction,study_bbox_coverage_pct,full_coverage_ge_99_5pct,high_coverage_ge_95pct
ascending,15,2018-08-28,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-09-03,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-09-09,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-09-15,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-09-21,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-09-27,2018,2,2,0,1.0,100.0,True,True
ascending,15,2019-04-01,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-04-07,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-04-13,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-04-19,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-01,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-07,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-05-13,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-19,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-05-25,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-31,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-06-06,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-06-12,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-06-18,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-06-30,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-07-06,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-07-12,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-07-18,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-07-24,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-07-30,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-08-05,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-08-11,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-08-17,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-08-29,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-09-04,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-09-10,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-09-16,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-09-22,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-09-28,2019,4,4,0,1.0,100.0,True,True
ascending,15,2020-04-01,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-04-07,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-04-13,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-04-25,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-05-01,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-05-07,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-05-13,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-05-19,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-05-25,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-05-31,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-06-06,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-06-12,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-06-24,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-06-30,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-07-06,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-07-12,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-07-18,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-07-24,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-07-30,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-08-05,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-08-11,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-08-17,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-08-23,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-08-29,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-09-04,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-09-10,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-09-16,2020,2,2,0,1.0,100.0,True,True
ascending,15,2020-09-22,2020,4,4,0,1.0,100.0,True,True
ascending,15,2020-09-28,2020,2,2,0,1.0,100.0,True,True
ascending,15,2021-04-02,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-04-08,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-04-14,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-04-20,2021,1,1,0,1.0,100.0,True,True
ascending,15,2021-04-26,2021,2,2,0,1.0,100.0,True,True
ascending,15,2021-05-02,2021,1,1,0,1.0,100.0,True,True
