year,treatment,date,irrigation_inflow_mm,irrigation_outflow_mm,net_irrigation_calculated_mm,net_irrigation_reported_mm,difference_mm,absolute_difference_mm
2020,AWD,2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-05-07,163.002676635687,0.0,163.002676635687,163.002676635687,0.0,0.0
2020,AWD,2020-05-08,46.4781997629165,0.0,46.4781997629165,46.4781997629165,0.0,0.0
2020,AWD,2020-05-09,35.026070434708,0.0,35.026070434708,35.026070434708,0.0,0.0
2020,AWD,2020-05-10,37.5870722768034,0.0,37.5870722768034,37.5870722768034,0.0,0.0
2020,AWD,2020-05-11,30.1250683574067,10.9222067450144,19.2028616123923,19.2028616123923,0.0,0.0
2020,AWD,2020-05-12,26.8935529168565,7.68481319194942,19.2087397249071,19.2087397249071,0.0,0.0
2020,AWD,2020-05-13,38.1038850852411,10.0536202561977,28.0502648290434,28.0502648290434,0.0,0.0
2020,AWD,2020-05-14,24.0208771346565,17.0837651544759,6.9371119801806,6.9371119801806,0.0,0.0
2020,AWD,2020-05-15,0.0052177306924152,160.002332498596,-159.997114767904,-159.997114767904,0.0,0.0
2020,AWD,2020-05-16,0.0,0.673768614314338,-0.673768614314338,-0.673768614314338,0.0,0.0
2020,AWD,2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-05-20,61.0880869545652,0.305306313389203,60.782780641176,60.782780641176,0.0,0.0
2020,AWD,2020-05-21,4.10658001022368,0.49000110487419,3.61657890534949,3.61657890534949,0.0,0.0
2020,AWD,2020-05-22,47.0643030922524,0.572779662671644,46.4915234295808,46.4915234295808,0.0,0.0
2020,AWD,2020-05-23,18.4796100460065,0.982820337230822,17.4967897087757,17.4967897087757,0.0,0.0
2020,AWD,2020-05-24,10.7797725268371,0.933281622548592,9.84649090428851,9.84649090428851,0.0,0.0
2020,AWD,2020-05-25,0.0,0.276827442776314,-0.276827442776314,-0.276827442776314,0.0,0.0
2020,AWD,2020-05-26,0.0,0.229615883751404,-0.229615883751404,-0.229615883751404,0.0,0.0
2020,AWD,2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-05-28,58.92406206052,0.0,58.92406206052,58.92406206052,0.0,0.0
2020,AWD,2020-05-29,0.0,0.0037812997423035,-0.0037812997423035,-0.0037812997423035,0.0,0.0
2020,AWD,2020-05-30,0.0,0.0982348265138944,-0.0982348265138944,-0.0982348265138944,0.0,0.0
2020,AWD,2020-05-31,0.0,0.123109978183329,-0.123109978183329,-0.123109978183329,0.0,0.0
2020,AWD,2020-06-01,59.7859467465669,0.163878304380514,59.6220684421864,59.6220684421864,0.0,0.0
2020,AWD,2020-06-02,0.0,0.590338099731234,-0.590338099731234,-0.590338099731234,0.0,0.0
2020,AWD,2020-06-03,24.380477846215,0.725220648564912,23.6552571976501,23.6552571976501,0.0,0.0
2020,AWD,2020-06-04,0.0,3.90655634316148,-3.90655634316148,-3.90655634316148,0.0,0.0
2020,AWD,2020-06-05,0.0,4.33944900631308,-4.33944900631308,-4.33944900631308,0.0,0.0
2020,AWD,2020-06-06,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-07,14.019701206506,0.18345864658033,13.8362425599257,13.8362425599257,0.0,0.0
2020,AWD,2020-06-08,18.6324875179429,119.544405599956,-100.911918082013,-100.911918082013,0.0,0.0
2020,AWD,2020-06-09,0.0,1.39855922803645,-1.39855922803645,-1.39855922803645,0.0,0.0
2020,AWD,2020-06-10,0.0,0.000638425092448,-0.000638425092448,-0.000638425092448,0.0,0.0
2020,AWD,2020-06-11,0.0,0.0049855303169781,-0.0049855303169781,-0.0049855303169781,0.0,0.0
2020,AWD,2020-06-12,13.6258949598516,0.0,13.6258949598516,13.6258949598516,0.0,0.0
2020,AWD,2020-06-13,95.8179664772209,0.0,95.8179664772209,95.8179664772209,0.0,0.0
2020,AWD,2020-06-14,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-15,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-16,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-17,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-18,32.679948081788,0.0353865229033373,32.6445615588847,32.6445615588847,0.0,0.0
2020,AWD,2020-06-19,0.0,0.822724241161196,-0.822724241161196,-0.822724241161196,0.0,0.0
2020,AWD,2020-06-20,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-23,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-24,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-25,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-27,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-29,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-02,83.289161146725,0.0050783032543004,83.2840828434707,83.2840828434707,0.0,0.0
2020,AWD,2020-07-03,0.0,0.00248822092566,-0.00248822092566,-0.00248822092566,0.0,0.0
2020,AWD,2020-07-04,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-05,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-07,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-08,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-09,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-10,0.0,0.0,0.0,0.0,0.0,0.0
2020,AWD,2020-07-11,0.0,0.0,0.0,0.0,0.0,0.0
