"workbook","sheet","row","column","value"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","14","15","< LOD"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","15","1","5/11/2019"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","15","2","-5"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","1","1","GROUNDWATER"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","1","3","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","1","Date"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","2","Days after sowing"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","3","Depth (cm) PIEZOMETER P3
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","4","Depth (cm) PIEZOMETER P4
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","5","Depth (cm) PIEZOMETER P7
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","6","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","7","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","8","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","9","N-NO3 (mg/l) PIEZOMETER P3
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","10","N-NO3 (mg/l) PIEZOMETER P4
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","11","N-NO3 (mg/l) PIEZOMETER P7
"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","12","N-NO2 (mg/l) PIEZOMETER
P3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","13","N-NO2 (mg/l)
PIEZOMETER P4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","14","N-NO2 (mg/l)
PIEZOMETER P7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","15","N-UREA (mg/l) PIEZOMETER 3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","16","N-UREA (mg/l) PIEZOMETER 4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","17","N-UREA (mg/l) PIEZOMETER 7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","18","N-NH3 (mg/l)
PIEZOMETER P3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","19","N-NH3 (mg/l)
PIEZOMETER P4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","20","N-NH3 (mg/l) PIEZOMETER
P7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","21","N-TOT (mg/l) PIEZOMETER
P3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","22","N-TOT (mg/l) PIEZOMETER
P4"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","23","N-TOT (mg/l) PIEZOMETER
P7"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","24"," P-PO4 (mg/l) PIEZOMETER 3"
"MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","Groundwater","2","25","P-PO4 (mg/l) PIEZOMETER 4"
