year,n_cells,ff_mean,ff_sd,anomaly_mean,anomaly_sd,anomaly_min,anomaly_max,min_composites,min_native_valid
2010,4331,0.22036199301165227,0.22631970368526821,0.0892241380470046,0.10917679922123322,-0.27133245234976955,0.7361256162605245,14,1
2011,4331,0.14331555216374434,0.16176390332081955,0.012177697199096699,0.0604043746393093,-0.31273896156596104,0.4428414612944651,15,4
2012,4331,0.2032174371747011,0.23009583005268852,0.07207958221005341,0.106788585994288,-0.15526559342183432,0.5049759275992969,15,4
2013,4331,0.26044126208943535,0.24374510835489452,0.1293034071247877,0.1296428213642336,-0.1773903357472365,0.594895414443716,15,4
2014,4331,0.12715341097877444,0.1480487639575913,-0.003984443985873204,0.0492103049112587,-0.28179124505555964,0.4557646943382097,15,4
2015,4331,0.10338473003617092,0.13681481240335733,-0.027753124928476737,0.055105573133664376,-0.3037121646766781,0.41293450747918603,15,4
2016,4331,0.11722549697019524,0.15062504167363372,-0.013912357994452413,0.05374996881391864,-0.28787320085414625,0.38254229701676756,15,4
2017,4331,0.07299777189205743,0.10637795696133998,-0.05814008307259023,0.07135700855463098,-0.4224992491266526,0.2049202824156478,15,3
2018,4331,0.12026361770363395,0.1531848418382333,-0.010874237261013699,0.05882823827985236,-0.4833915173991046,0.35976406229093083,15,4
2019,4331,0.08863262519491323,0.12914558088585637,-0.04250522976973442,0.0664706832500412,-0.47429641554483487,0.3271281485286888,15,2
2020,4331,0.0641740786925893,0.08959857077440085,-0.06696377627205835,0.08113432685794685,-0.5247553973079617,0.34824434731259224,15,4
2021,4331,0.05248628366790431,0.07278038322270401,-0.07865157129674334,0.09423665757626802,-0.6734659568309289,0.15075439313255884,15,3
2022,4331,0.03332743719557389,0.03385568500038884,-0.09781041776907376,0.12435113970878431,-0.8907080812400944,0.08634336310889329,15,4
2023,4331,0.06267841146410305,0.06895761798489157,-0.06845944350054461,0.09546412533040532,-0.7275997249225544,0.20141074845374624,15,4
2024,4331,0.20884250969107915,0.16252307242513747,0.07770465472643147,0.0933601013473647,-0.48242962971918085,0.5802242799163746,15,4
2025,4331,0.10821251120698404,0.11567233906138887,-0.022925343757663613,0.07630483431944936,-0.4417614127219779,0.4811231735773588,15,4
