bridge,subset,year,n,pearson_r,spearman_rho,rmse,mae,bias,observed_mean_ff,predicted_mean_ff,observed_sd_ff,predicted_sd_ff,mean_composites_valid,min_composites_valid,prediction_below_zero_n,prediction_above_one_n
valid__index_then_aggregate__fractional_logit,extended_confirmation,2010,3807,0.9505532608112865,0.9380915904995402,0.0801666622197117,0.061455484272672396,0.034519214199308805,0.20823621260524366,0.24275542680455248,0.2133755865611397,0.23189848677084135,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,extended_confirmation,2011,3865,0.9293589484955838,0.9354376106746937,0.06379546052089494,0.04536202268333108,0.01652417455930055,0.13911966726925504,0.1556438418285556,0.15878055746431116,0.1665826137978403,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,extended_confirmation,2012,3678,0.9597071563664651,0.9556460468700588,0.07246087096465877,0.05292797357289725,0.024128960783603843,0.20753554627057222,0.23166450705417602,0.21472339622566278,0.23814960802839374,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,extended_confirmation,2013,3636,0.9496932809169436,0.9358351804820939,0.11559272940256207,0.08919669831627407,0.075723736296163,0.21989568518428135,0.2956194214804444,0.19774285997929011,0.24939410093699904,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,extended_confirmation,pooled_2010_2013,14986,0.9455265334373364,0.9360573997170701,0.0849282460509165,0.061942715079155684,0.037325397441839644,0.19306747803930635,0.230392875481146,0.19974634922381979,0.22875999615022513,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,extended_confirmation_balanced,pooled_2010_2013,13468,0.9456224874126898,0.9458152535166037,0.0870924739309438,0.06359107531250975,0.0383685642170824,0.2100660944838948,0.24843465870097717,0.20125747961102364,0.23306987150874392,15.0,15,0,0
