omitted_station,n,delta_ff10_estimate,hc3_se,p_value,ci95_low,ci95_high
PO018003NR0009,12,38.375589177822704,287.8245436155461,0.8968661929601417,-612.7287637912092,689.4799421468546
PO018043NUP001,12,-4.25338270956609,46.45223924098268,0.9290495885611906,-109.33564843657089,100.82888301743873
PO018047NR0001,12,-2.6273760758084723,82.13181286993685,0.9751784251700527,-188.42244485313793,183.16769270152096
PO0180480U0004,12,-13.732901064107985,43.5266897601989,0.7595712721087947,-112.1971140780372,84.73131194982125
PO018048NRP001,12,-6.431297391899987,36.08259358881367,0.8624833385728622,-88.05579493117142,75.19320014737144
PO018072NUP001,12,-4.339581464337588,47.994197831245806,0.9299347043478672,-112.90999986104435,104.23083693236919
PO0180810U0111,12,-4.27420069120952,39.15210517825401,0.9154636845850646,-92.84241585882552,84.29401447640649
PO0181100U0111,12,-2.985520106867053,77.97986486162443,0.9702956230562891,-179.38822995762683,173.41718974389272
PO0181140U0002,12,-6.264554633684893,27.17806401966594,0.8228571145952881,-67.74560682676037,55.21649755939058
PO018162NUP001,12,0.8313463148623317,268.70612191929246,0.9975989321166625,-607.0241320725928,608.6868247023175
PO018173NUP001,12,-4.394742661893773,33.35124862838053,0.8980638399721417,-79.8405086348486,71.05102331106106
PO018176NUP001,12,2.36702289714869,74.2378364651336,0.9752601994449732,-165.57063061309503,170.30467640739244
PO018180NUP001,12,-6.832325699316767,80.5395344096689,0.9342520959834554,-189.02541035258176,175.36075895394825
