year,rows,rice_cells,composites,valid_b01,valid_b02,valid_b07,ndvi_nonmissing,ndfi_nonmissing
2022,259860,4331,15,259860,259860,259860,259860,259860
2023,259860,4331,15,259860,259860,259860,259860,259860
2024,259860,4331,15,259860,259860,259860,259860,259860
2025,259860,4331,15,259860,259860,259860,259860,259860
