year,split,observed_mean_ff,predicted_mean_ff,n
2014,confirmation,0.1501879296677589,0.14062328183186087,3743
2015,confirmation,0.11641896003252471,0.11704264279252949,3637
2016,confirmation,0.11060548248879429,0.13079996529688337,3693
2017,development,0.09325158196437214,0.08199096078319916,3635
2018,development,0.13525153331960993,0.14565215014040425,3345
2019,development,0.10063801198112465,0.10389770406110845,3412
2020,development,0.06828424831653164,0.06968217337937647,3782
2021,development,0.05941831683707428,0.05670081359842891,3778
