filename,year,size_bytes,sha256,product,version,tile
MOD09A1.A2022065.h18v04.061.2022074041439.hdf,2022,71076388,cf8d3a4e686520c00bac7f1bf5f6d39547af75fc79a053175644d3f3d776e0b4,MOD09A1,061,h18v04
MOD09A1.A2022073.h18v04.061.2022101234022.hdf,2022,70761572,3b360b71bec7a90d7f77149bc18987efc8885acd3ad7b57e9a56bb35352818f0,MOD09A1,061,h18v04
MOD09A1.A2022081.h18v04.061.2022097045817.hdf,2022,71667673,384aa00a25d27b81f160e25433437854e946ab16f8113b6802fd8a234b149cd7,MOD09A1,061,h18v04
MOD09A1.A2022089.h18v04.061.2022098040906.hdf,2022,68437621,f1507d5b4e86f5bca225c00fe5609ea7dba92daa6b6cc5cb818ff7b7976eb3fe,MOD09A1,061,h18v04
MOD09A1.A2022097.h18v04.061.2022121000458.hdf,2022,67991529,553a369215bd563335e59cd2154c2f60bfec85d649719056ac9be826b4ee7204,MOD09A1,061,h18v04
MOD09A1.A2022105.h18v04.061.2022118025506.hdf,2022,68043479,b16710883bbe50958bc064044f3b6dbd4c376981634e500f2f17f476a71bfd1c,MOD09A1,061,h18v04
MOD09A1.A2022113.h18v04.061.2022122192244.hdf,2022,68367143,81459cf9d6b2c414079c1732b8e9a7cfbab50f3f6476a6003f8737bbf0d75590,MOD09A1,061,h18v04
MOD09A1.A2022121.h18v04.061.2022134044538.hdf,2022,72416069,5381d6c7623f5875b216fa74b8e42ac6d43e9ab6a2008c16f53b9141968e22c1,MOD09A1,061,h18v04
MOD09A1.A2022129.h18v04.061.2022141153934.hdf,2022,68769060,2216c4cd2d8e2e68cf52a4a06f05d35c9ae2efce7af81839d732c3ff5ffefce0,MOD09A1,061,h18v04
MOD09A1.A2022137.h18v04.061.2022146052851.hdf,2022,68229745,aa6c294804d7eccef97a0d8cfa25e544aa7c9ae92e0f1e22354b484044bccb22,MOD09A1,061,h18v04
MOD09A1.A2022145.h18v04.061.2022158004222.hdf,2022,69759441,00966a79b0820a3a485f965389dd7950cb5fa7f53f48229f91c883898b7031ab,MOD09A1,061,h18v04
MOD09A1.A2022153.h18v04.061.2022162062659.hdf,2022,68036886,393d05e36d811c44364104c9ef3ee98f9313f86a031fc280381ea6ca3817b14a,MOD09A1,061,h18v04
MOD09A1.A2022161.h18v04.061.2022170050317.hdf,2022,67596721,220ae7007ced1853deecf8cc4ceceb1788e3941936470ed783bc267535d488d4,MOD09A1,061,h18v04
MOD09A1.A2022169.h18v04.061.2022178215929.hdf,2022,65073569,6ec078bb1f4f9165ce875c1182d01038c6f2bdf6d9baa238be8fd48ab422a2a5,MOD09A1,061,h18v04
MOD09A1.A2022177.h18v04.061.2022186044243.hdf,2022,65734650,c535e7ec945aa56145ec07f08af6c4f2934490f1e3a2579cc0f9e37631284319,MOD09A1,061,h18v04
