source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2023065.h18v04.061.2023074090016.hdf,65,17324,4331,17324,17324,17324,17324,66,71
MOD09A1.A2023073.h18v04.061.2023082042318.hdf,73,17324,4331,17324,17324,17324,17324,74,80
MOD09A1.A2023081.h18v04.061.2023090070202.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2023089.h18v04.061.2023100040704.hdf,89,17324,4331,17324,17324,17324,17324,91,96
MOD09A1.A2023097.h18v04.061.2023115134006.hdf,97,17324,4331,17324,17324,17324,17324,98,104
MOD09A1.A2023105.h18v04.061.2023114150737.hdf,105,17324,4331,17324,17324,17324,17324,105,111
MOD09A1.A2023113.h18v04.061.2023122031428.hdf,113,17324,4331,17324,17324,17324,17324,113,118
MOD09A1.A2023121.h18v04.061.2023130042112.hdf,121,17324,4331,17324,17324,17324,17324,122,128
MOD09A1.A2023129.h18v04.061.2023138045038.hdf,129,17324,4331,17324,17324,17324,17324,129,135
MOD09A1.A2023137.h18v04.061.2023146171016.hdf,137,17324,4331,17324,17324,17324,17324,142,144
MOD09A1.A2023145.h18v04.061.2023154052032.hdf,145,17324,4331,17324,17324,17324,17324,146,152
MOD09A1.A2023153.h18v04.061.2023164035033.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2023161.h18v04.061.2023170174904.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2023169.h18v04.061.2023178032950.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2023177.h18v04.061.2023192000840.hdf,177,17324,4331,17324,17324,17324,17324,177,184
