source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2010065.h18v04.061.2021154174203.hdf,65,17324,4331,17324,17324,17324,17324,65,72
MOD09A1.A2010073.h18v04.061.2021155032135.hdf,73,17324,4331,17324,17324,17324,17324,73,78
MOD09A1.A2010081.h18v04.061.2021155215151.hdf,81,17324,4331,17324,17324,17324,17324,83,87
MOD09A1.A2010089.h18v04.061.2021156143449.hdf,89,17324,4331,17324,17324,17324,17324,90,96
MOD09A1.A2010097.h18v04.061.2021157105211.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2010105.h18v04.061.2021158213224.hdf,105,17324,4331,17324,17324,17324,17324,105,112
MOD09A1.A2010113.h18v04.061.2021159110105.hdf,113,17324,4331,17324,17324,17324,17324,115,119
MOD09A1.A2010121.h18v04.061.2021160010627.hdf,121,17324,4331,17324,17324,17324,17324,121,128
MOD09A1.A2010129.h18v04.061.2021160153806.hdf,129,17324,4331,17297,17324,17324,17297,129,136
MOD09A1.A2010137.h18v04.061.2021161030055.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2010145.h18v04.061.2021161162730.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2010153.h18v04.061.2021161230324.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2010161.h18v04.061.2021162161522.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2010169.h18v04.061.2021163095020.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2010177.h18v04.061.2021165072428.hdf,177,17324,4331,17324,17324,17324,17324,177,184
