source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2018065.h18v04.061.2021318232231.hdf,65,17324,4331,17324,17324,17324,17324,67,72
MOD09A1.A2018073.h18v04.061.2021320005915.hdf,73,17324,4331,17324,17324,17324,17324,73,75
MOD09A1.A2018081.h18v04.061.2021322213232.hdf,81,17324,4331,17324,17324,17324,17324,81,87
MOD09A1.A2018089.h18v04.061.2021323102107.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2018097.h18v04.061.2021324001233.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2018105.h18v04.061.2021325103700.hdf,105,17324,4331,17324,17324,17324,17324,106,112
MOD09A1.A2018113.h18v04.061.2021327231517.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2018121.h18v04.061.2021329025331.hdf,121,17324,4331,17324,17324,17324,17324,125,128
MOD09A1.A2018129.h18v04.061.2021329113429.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2018137.h18v04.061.2021330223346.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2018145.h18v04.061.2021331070654.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2018153.h18v04.061.2021332152617.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2018161.h18v04.061.2021332211044.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2018169.h18v04.061.2021335014424.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2018177.h18v04.061.2021335080025.hdf,177,17324,4331,17324,17324,17324,17324,177,184
