year,wells_total_n,wells_with_ff10_n,ff10_anomaly_mean,ff10_anomaly_sd,ff10_anomaly_min,ff10_anomaly_p25,ff10_anomaly_median,ff10_anomaly_p75,ff10_anomaly_max
2022,37,35,-0.03751428827759087,0.040747978670295094,-0.18953421986065205,-0.044195711210142555,-0.016529322675309266,-0.014547369481788154,-0.00816097502999707
2023,37,35,-0.031193530370028796,0.030101906253385678,-0.13426376577025845,-0.04095333658983203,-0.015330699149413431,-0.011795236262153602,-0.006196578971037448
2024,37,35,0.09203298318367775,0.017382836147732984,0.06686036395964592,0.07927306540412926,0.09038980729265622,0.09869414906483029,0.1374866664847598
2025,37,35,0.0061635009354622655,0.012923326556774,-0.017816580332439255,0.0012820456017652848,0.00478699337066268,0.012648559292305118,0.0423293499589484
