year,rows,rice_cells,composites,valid_b01,valid_b02,valid_b07,ndvi_nonmissing,ndfi_nonmissing
2010,259860,4331,15,259860,259860,259833,259860,259833
2011,259860,4331,15,259860,259860,259860,259860,259860
2012,259860,4331,15,259860,259860,259860,259860,259860
2013,259860,4331,15,259860,259860,259860,259860,259860
