source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2020065.h18v04.061.2020330103238.hdf,65,17324,4331,17324,17324,17324,17324,67,71
MOD09A1.A2020073.h18v04.061.2020330203212.hdf,73,17324,4331,17324,17324,17324,17324,75,79
MOD09A1.A2020081.h18v04.061.2020331132718.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2020089.h18v04.061.2020335061905.hdf,89,17324,4331,17324,17324,17324,17324,92,96
MOD09A1.A2020097.h18v04.061.2020332133216.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2020105.h18v04.061.2020332144147.hdf,105,17324,4331,17324,17324,17324,17324,105,109
MOD09A1.A2020113.h18v04.061.2020333060330.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2020121.h18v04.061.2020333110314.hdf,121,17324,4331,17324,17324,17324,17324,123,128
MOD09A1.A2020129.h18v04.061.2020334143216.hdf,129,17324,4331,17324,17324,17324,17324,130,136
MOD09A1.A2020137.h18v04.061.2020335004335.hdf,137,17324,4331,17324,17324,17324,17324,138,142
MOD09A1.A2020145.h18v04.061.2020335094431.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2020153.h18v04.061.2020336021727.hdf,153,17324,4331,17324,17324,17324,17324,153,158
MOD09A1.A2020161.h18v04.061.2020336134709.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2020169.h18v04.061.2020336203624.hdf,169,17324,4331,17324,17324,17324,17324,170,176
MOD09A1.A2020177.h18v04.061.2020340130547.hdf,177,17324,4331,17324,17324,17324,17324,177,184
