source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2017065.h18v04.061.2021268042945.hdf,65,17324,4331,17324,17324,17324,17324,66,72
MOD09A1.A2017073.h18v04.061.2021268110151.hdf,73,17324,4331,17324,17324,17324,17324,73,79
MOD09A1.A2017081.h18v04.061.2021269135129.hdf,81,17324,4331,17324,17324,17324,17324,84,88
MOD09A1.A2017089.h18v04.061.2021269202030.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2017097.h18v04.061.2021270163809.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2017105.h18v04.061.2021270224206.hdf,105,17324,4331,17323,17324,17324,17323,106,112
MOD09A1.A2017113.h18v04.061.2021271164014.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2017121.h18v04.061.2021271212855.hdf,121,17324,4331,17323,17324,17324,17323,122,128
MOD09A1.A2017129.h18v04.061.2021272153251.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2017137.h18v04.061.2021272224857.hdf,137,17324,4331,17324,17324,17324,17324,137,143
MOD09A1.A2017145.h18v04.061.2021273080009.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2017153.h18v04.061.2021274055829.hdf,153,17324,4331,17324,17324,17324,17324,153,159
MOD09A1.A2017161.h18v04.061.2021274112744.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2017169.h18v04.061.2021275153923.hdf,169,17324,4331,17324,17324,17324,17324,169,175
MOD09A1.A2017177.h18v04.061.2021276011009.hdf,177,17324,4331,17324,17324,17324,17324,177,184
