sample,model,formula,n_rows,n_wells,design_rank,design_columns,ff10_partial_residual_sd,beta_per_1_ff10,beta_per_0_01_ff10_m,cv3j_se,cv3j_ci_low,cv3j_ci_high,cv3j_df,wcr31_webb_p,bootstrap_B,bootstrap_seed,crv1_se,crv1_p,crv1_ci_low,crv1_ci_high,hc3_se,hc3_p,hc3_ci_low,hc3_ci_high,loo_beta_min,loo_beta_max,loo_sign_change_across_omissions,loo_max_abs_beta_change,loo_most_influential_station,status,primary_status
primary,base_identity,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + C(station) + C(year),48,12,17,17,0.010624870766403716,-6.464447572337406,-0.06464447572337406,30.611594077332484,-73.8401118632953,60.911216718620494,11,0.819081908190819,9999,20260831,5.75697783084301,0.28539524964932306,-19.135470344999426,6.206575200324613,6.610113341937969,0.33566321666792504,-19.945862615424197,7.016967470749384,-8.63450386466245,26.435574593303002,True,32.90002216564041,PO018047NR0001,COMPLETED,PRIMARY_FROZEN
primary,W1_precip,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + P_A8 + C(station) + C(year),48,12,18,18,0.010499663662933586,-4.983354263528126,-0.04983354263528126,25.93687042512526,-62.07002116844854,52.103312641392286,11,0.7566756675667566,9999,20260831,4.516589836299225,0.2934302938045984,-14.924301467443444,4.957592940387192,6.7033812418949115,0.46301674193016845,-18.67348513793649,8.706776610880237,-6.875548077781076,22.899131272967928,True,27.882485536496056,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
primary,W2_temp,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + T_A8 + C(station) + C(year),48,12,18,18,0.01047914171751449,-5.199696875376295,-0.05199696875376295,30.275600389908913,-71.83584404643044,61.43645029567785,11,0.8453845384538454,9999,20260831,5.464957609589277,0.36180853800513646,-17.22798747461217,6.828593723859578,7.004913997322685,0.4636826349146899,-19.50563979086742,9.106246040114828,-7.406341855037654,27.350538321833106,True,32.5502351972094,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
primary,W3_precip_temp,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + P_A8 + T_A8 + C(station) + C(year),48,12,19,19,0.010394348566521027,-4.1016903733773145,-0.04101690373377315,26.41912094899379,-62.24978352477878,54.046402778024145,11,0.7827782778277828,9999,20260831,4.4109993399675025,0.37239136330388606,-13.810234461819801,5.6068537150651725,7.141104200547055,0.5701413136860473,-18.706888361894514,10.503507615139887,-5.9090292000756595,24.321430883069958,True,28.423121256447274,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
secondary18,base,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + C(station) + C(year),62,18,23,23,0.011451700945220874,-1.5419783595957295,-0.015419783595957295,11.353760262576678,-25.49631862856488,22.412361909373423,17,0.8433843384338434,9999,20260831,7.880234157044584,0.8471830304447671,-18.167819141102576,15.08386242191112,8.963081197228062,0.8642983554307045,-19.671521312781152,16.58756459358969,-6.020831604249187,9.009861634435318,True,10.551839994031047,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
secondary18,W1_precip,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + P_A8 + C(station) + C(year),62,18,24,24,0.011365046539600866,-1.261770587207228,-0.01261770587207228,11.136650796729596,-24.758049923037134,22.23450874862268,17,0.8612861286128612,9999,20260831,7.683810908379118,0.8715012071842074,-17.47319453883105,14.949653364416594,9.463958133858702,0.8946408891184757,-20.420552200897994,17.89701102648354,-5.565521502501655,9.080749059466633,True,10.34251964667386,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
secondary18,W2_temp,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + T_A8 + C(station) + C(year),62,18,24,24,0.011072268847487373,-0.11795950929837229,-0.001179595092983723,12.21296878435506,-25.88507130212269,25.649152283525943,17,0.9846984698469847,9999,20260831,8.237735996213235,0.988741865851324,-17.498063240187303,17.262144221590557,9.824557845363099,0.9904831675212799,-20.006737074466983,19.770818055870237,-4.673297221751425,11.347185866866935,True,11.465145376165307,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
secondary18,W3_precip_temp,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + P_A8 + T_A8 + C(station) + C(year),62,18,25,25,0.011012218123917105,0.09255926440453877,0.0009255926440453877,12.078176948731933,-25.390166613857357,25.575285142666434,17,0.987998799879988,9999,20260831,8.136175408548285,0.991055692555916,-17.073270356534973,17.25838888534405,10.32899860237366,0.9928983101329325,-20.835979854363178,21.021098383172255,-4.417780208162325,11.383270020500882,True,11.290710756096344,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
diagnostic14,base,gw_aug_nearest_aug23_m ~ ff10_anomaly_2010_2021 + gw_pre_last_janfeb_m + C(station) + C(year),54,14,19,19,0.01215147384988002,-1.4296796368291096,-0.014296796368291096,11.728644562076822,-26.767875731532637,23.908516457874416,13,0.8501850185018501,9999,20260831,8.009387465009917,0.8610816381494729,-18.732909273702507,15.873550000044286,9.166985296067514,0.8769609184213467,-20.039649164530086,17.180289890871865,-6.306426412431046,9.532411292204177,True,10.962090929033288,PO018047NR0001,COMPLETED,ROBUSTNESS_OR_DIAGNOSTIC
