source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2021065.h18v04.061.2021075143320.hdf,65,17324,4331,17324,17324,17324,17324,66,72
MOD09A1.A2021073.h18v04.061.2021082170030.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2021081.h18v04.061.2021090062336.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2021089.h18v04.061.2021098045012.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2021097.h18v04.061.2021107044104.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2021105.h18v04.061.2021114055248.hdf,105,17324,4331,17324,17324,17324,17324,106,112
MOD09A1.A2021113.h18v04.061.2021122111004.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2021121.h18v04.061.2021133170123.hdf,121,17324,4331,17323,17324,17324,17323,122,128
MOD09A1.A2021129.h18v04.061.2021138052620.hdf,129,17324,4331,17324,17324,17324,17324,129,134
MOD09A1.A2021137.h18v04.061.2021146125340.hdf,137,17324,4331,17324,17324,17324,17324,137,143
MOD09A1.A2021145.h18v04.061.2021154055612.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2021153.h18v04.061.2021162060942.hdf,153,17324,4331,17324,17324,17324,17324,154,160
MOD09A1.A2021161.h18v04.061.2021170044648.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2021169.h18v04.061.2021178065856.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2021177.h18v04.061.2021188183538.hdf,177,17324,4331,17324,17324,17324,17324,177,183
