source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2025065.h18v04.061.2025074035753.hdf,65,17324,4331,17324,17324,17324,17324,65,69
MOD09A1.A2025073.h18v04.061.2025085122505.hdf,73,17324,4331,17324,17324,17324,17324,75,79
MOD09A1.A2025081.h18v04.061.2025092134630.hdf,81,17324,4331,17324,17324,17324,17324,84,87
MOD09A1.A2025089.h18v04.061.2025098211308.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2025097.h18v04.061.2025106042356.hdf,97,17324,4331,17324,17324,17324,17324,97,101
MOD09A1.A2025105.h18v04.061.2025114043811.hdf,105,17324,4331,17324,17324,17324,17324,107,112
MOD09A1.A2025113.h18v04.061.2025125151009.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2025121.h18v04.061.2025133155441.hdf,121,17324,4331,17324,17324,17324,17324,121,128
MOD09A1.A2025129.h18v04.061.2025140153646.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2025137.h18v04.061.2025148123504.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2025145.h18v04.061.2025154053710.hdf,145,17324,4331,17324,17324,17324,17324,145,151
MOD09A1.A2025153.h18v04.061.2025218195240.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2025161.h18v04.061.2025171215028.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2025169.h18v04.061.2025178155209.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2025177.h18v04.061.2025189031839.hdf,177,17324,4331,17324,17324,17324,17324,178,184
